county,name_of_the_aquaculture_production_business_farm,address_or_location_of_the_farm,column_d,longitude_decimal_degrees,latitude_decimal_degrees,no_susceptible_or_vector_species_present,susceptible_species_present,vector_species_present,no_susceptible_or_vector_species_present_2,susceptible_species_present_2,vector_species_present_2,no_susceptible_or_vector_species_present_3,susceptible_species_present_3,vector_species_present_3,no_susceptible_or_vector_species_present_4,susceptible_species_present_4,vector_species_present_4,declared_disease_free,under_surveillance_programme,not_known_to_be_infected,other,declared_disease_free_2,under_surveillance_programme_2,not_known_to_be_infected_2,other_2,declared_disease_free_3,under_surveillance_programme_3,not_known_to_be_infected_3,other_3,declared_disease_free_4,under_surveillance_programme_4,not_known_to_be_infected_4,other_4,declared_disease_free_5,under_surveillance_programme_5,not_known_to_be_infected_5,other_5,declared_disease_free_6,under_surveillance_programme_6,not_known_to_be_infected_6,other_6,declared_disease_free_7,under_surveillance_programme_7,not_known_to_be_infected_7,other_7,declared_disease_free_8,under_surveillance_programme_8,not_known_to_be_infected_8,other_8,saltwater_cages_enclosures_pens,saltwater_ponds,saltwater_tanks_raceways,saltwater_closed_recirculation,freshwater_cages_enclosures_pens,freshwater_ponds,freshwater_tanks_raceways,freshwater_closed_recirculation,research_facility,quarantine_facility,other_9,hatchery,nursery,brood_stock,grow_out_for_human_consumption,put_take_fisheries,other_10
Donegal,Marine Harvest Ireland Ltd.,"Cranford Sea Site C, Mulroy Bay, Co. Donegal",029 - FHA,-7.68943,55.14978,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Donegal,Marine Harvest Ireland Ltd.,"Kindrum Sea Site, Mulroy Bay, Co. Donegal",030 - FHA,-7.70742,55.22455,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Donegal,Marine Harvest Ireland Ltd.,"Moross 1 & 2, Mulroy Bay, Co. Donegal",031 - FHA,-7.70963,55.18838,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Donegal,Marine Harvest Ireland Ltd.,"Millstone, Mulroy Bay, Co.Donegal",032 - FHA,-7.75602,55.19112,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Donegal,Marine Harvest Ireland Ltd.,"Glinsk, Mulroy Bay, Co.Donegal",033 - FHA,-7.78068,55.20063,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Donegal,Marine Harvest Ireland Ltd.,"Anny Point, Lough Swilly, Co.Donegal",034 - FHA,-7.55020,55.15848,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Donegal,Millbrook Salmon Hatcheries Ltd,"Drumcavney, Trentagh, Letterkenny, Co.Donegal",045 - FHA,-7.85308,54.99137,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,,,,,
Donegal,Ocean Farm Ltd,"Inver Bay, Co Donegal",046 - FHA,-8.36943,54.59759,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Donegal,Ocean Farm Ltd,"McSwynes Bay, Co. Donegal",047 - FHA,-8.43104,54.61707,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Donegal,Salmo Salar Ltd,"ESB Ballyshannon Hatchery, Knather Road, Ballyshannon, Co. Donegal",048 - FHA,-8.17745,54.50093,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,a,a,,,,,a,,a,,,
