Keywords
abundance
biodiversity
biological
coarse material
depth
earth
ecosystem
fragment
ground
intensity
location
nature
nature reserve
organic
plot
reserve
rock
rock fragment
rockmaterial
root
root intensity
sediment
site
size
soil
soil base
soil colmy
soil depth
soil horizon
soil moisture
soil profile
soil structure
subplot
surface
texture
