plot_number,PTAG,sample_num,lab_num,depth_lb,pH_H2O,pH_KCl,N_t,C_t,S_t,C_N
K19,p111190,EXPA-S-K19-5,5158,40,4.65,3.73,0.09336525946855545,0.9669228792190552,< 0.05,10.356345440722583
K19,p111190,EXPA-S-K19-6,5159,50,4.78,3.75,0.08557736873626709,0.7830595374107361,< 0.05,9.150310987288874
T13,p120130,EXPA-S-T13-1,5160,5,4.55,3.67,0.2276320457458496,3.1848244667053223,< 0.05,13.991107694305782
T13,p120130,EXPA-S-T13-2,5161,10,4.62,3.68,0.2360139787197113,3.18784761428833,< 0.05,13.50702882761956
T13,p120130,EXPA-S-T13-3,5162,20,4.57,3.68,0.1803750991821289,2.3529281616210938,< 0.05,13.044639599866763
T13,p120130,EXPA-S-T13-4,5163,30,4.59,3.7,0.1330418735742569,1.5711979866027832,< 0.05,11.809800511609783
T13,p120130,EXPA-S-T13-5,5164,40,4.61,3.76,0.09674496203660965,1.030566930770874,< 0.05,10.652409273579465
T13,p120130,EXPA-S-T13-6,5165,50,4.82,3.78,0.09165845066308975,0.8363639712333679,< 0.05,9.124788442121966
M6,p113060,EXPA-S-M6-1,5166,5,4.63,3.59,0.25194478034973145,4.6866254806518555,< 0.05,18.60179629102148
M6,p113060,EXPA-S-M6-2,5167,10,4.66,3.66,0.16677482426166534,2.3923070430755615,< 0.05,14.344533437025808
M6,p113060,EXPA-S-M6-3,5168,20,4.56,3.62,0.13463935256004333,1.8483514785766602,< 0.05,13.728166716728493
M6,p113060,EXPA-S-M6-4,5169,30,4.75,3.63,0.10894093662500381,1.2333916425704956,< 0.05,11.321654474259505
M6,p113060,EXPA-S-M6-5,5170,40,4.87,3.65,0.08944215625524521,0.7906456589698792,< 0.05,8.839742824553303
M6,p113060,EXPA-S-M6-6,5171,50,4.96,3.64,0.08725634962320328,0.6483654379844666,< 0.05,7.4305817374241006
M11,p113110,EXPA-S-M11-1,5172,5,4.77,3.72,0.26513591408729553,3.9991118907928467,< 0.05,15.083252318190835
M11,p113110,EXPA-S-M11-2,5173,10,4.72,3.74,0.21687328815460205,2.8813140392303467,< 0.05,13.285702742591102
M11,p113110,EXPA-S-M11-3,5174,20,4.63,3.76,0.1657985895872116,2.0538339614868164,< 0.05,12.387523721403435
M11,p113110,EXPA-S-M11-4,5175,30,4.6,3.75,0.1281500905752182,1.3029773235321045,< 0.05,10.167588003126044
M11,p113110,EXPA-S-M11-5,5176,40,4.71,3.79,0.10981982946395874,0.9355366230010986,< 0.05,8.518831503996536
M11,p113110,EXPA-S-M11-6,5177,50,4.85,3.91,0.08961500227451324,0.6557773947715759,< 0.05,7.317718887767978
P22,p116220,EXPA-S-P22-1,5178,5,4.89,3.83,0.2775781452655792,3.716506004333496,< 0.05,13.389044014173537
P22,p116220,EXPA-S-P22-2,5179,10,4.76,3.9,0.21074721217155457,2.559809923171997,< 0.05,12.146352479805213
P22,p116220,EXPA-S-P22-3,5180,20,4.76,3.91,0.15679293870925903,1.713248372077942,< 0.05,10.926820979194837
P22,p116220,EXPA-S-P22-4,5181,30,4.62,3.89,0.11778529733419418,1.0790538787841797,< 0.05,9.161193317045015
P22,p116220,EXPA-S-P22-5,5182,40,4.73,3.93,0.09448176622390747,0.6749516129493713,< 0.05,7.1437234921057495
P22,p116220,EXPA-S-P22-6,5183,50,4.9,3.93,0.07970690727233887,0.4400097727775574,< 0.05,5.520346828589803
M27,p113270,EXPA-S-M27-1,5184,5,4.98,3.97,0.23049364984035492,3.0437064170837402,< 0.05,13.20516386977203
M27,p113270,EXPA-S-M27-2,5185,10,4.94,3.95,0.22149446606636047,3.0037295818328857,< 0.05,13.5611947114424
M27,p113270,EXPA-S-M27-3,5186,20,4.89,3.93,0.19098655879497528,2.559890031814575,< 0.05,13.40350885405829
M27,p113270,EXPA-S-M27-4,5187,30,4.84,3.89,0.1264532506465912,1.4834023714065552,< 0.05,11.730836208808393
M27,p113270,EXPA-S-M27-5,5188,40,5.01,3.98,0.07413703948259354,0.7346659302711487,< 0.05,9.909566599886137
M27,p113270,EXPA-S-M27-6,5189,50,5.29,3.97,0.044117990881204605,0.37805691361427307,< 0.05,8.569223259333302
M4,p113040,EXPA-S-M4-1,5190,5,4.28,3.36,0.28791818022727966,5.753978252410889,< 0.05,19.98476875572344
