Samplecode,Sample.Collector,Species,Year_Collected,Exp_Site,Exp_vicinity,Exp_Plot,Exp_Plot_Position,TAG,neighbour.tree_TAG,shrub.TAG,Leaf.fresh.weight,Leaf.dry.weight,LA,SLA,LDMC,N,C,CN,K,Mg,Ca,Al,Ca2,Fe,K2,Mg2,Mn,Na,P,S,Zn,Co,Cu,Pb,Sr,Cr,Ni,Cd214,Cd228,stomata.density,average.length,average.width,Phenolics,Tannin
B-35-V27,David Eichenberg,Elaeocarpus glabripetalus,2011,B,,V27,0702,t222270010702,,,1.86,770,3504.45,8.93,413.978494623656,,,,,,,0.185,7.79,0.197,15.588,2.46,1.673,2.529,1.356,4.555,0.026,0,0.011,0,0.021,0.01,0.006,0,0,,,,,
B-15-V27,David Eichenberg,Diospyros japonica,2011,B,,V27,0800,t222270010800,,,5.08,1610,611.66,17.84,316.929133858268,2.697,44.5,16.498,,,,0.219,10.512,0.185,26.865,4.202,2.08,2.312,1.387,3.959,0.034,0,0.012,0,0.017,0.001,0.004,0,0,,,,,
B-3-V27,David Eichenberg,Schima superba,2011,B,,V27,0919,t222270010919,,,2.48,980,3171.26,9.99,395.161290322581,1.308,48.301,36.943,,,,0.212,16.655,0.183,9.526,3.2,4.769,6.548,1.511,4.056,0.047,0,0.023,0.006,0.102,0.004,0.002,0,0,,,,,
B-30-V27,David Eichenberg,Alniphyllum fortunei,2011,B,,V27,1013,t222270011013,,,3.28,990,3057.99,16.31,301.829268292683,2.16,47.215,21.858,,,,0.174,15.345,0.18,8.7,2.82,3.149,6.482,1.363,3.255,0.042,0,0.014,0.001,0.093,0.009,0.006,0,0,,,,,
B-42-V27,David Eichenberg,Manglietia fordiana,2011,B,,V27,1212,t222270011212,,,7.85,2130,1464.83,11.72,271.337579617834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-14-V27,David Eichenberg,Castanopsis sclerophylla,2011,B,,V27,1213,t222270011213,,,2.19,1030,413,7.99,470.319634703196,1.125,47.302,42.05,,,,0.711,11.316,0.163,10.005,2.883,1.455,6.846,1.308,2.888,0.136,0,0.013,0,0.054,0.009,0.003,0,0,,,,120.156,65.561
B-33-V27,David Eichenberg,Celtis biondii,2011,B,,V27,1303,t222270011303,,,0.51,150,1177.6,8.26,294.117647058824,1.932,48.056,24.877,,,,,,,,,,,,,,,,,,,,,,,,,,
B-34-V27,David Eichenberg,Elaeocarpus chinensis,2011,B,,V27,1304,t222270011304,,,1.26,500,2905.92,10.47,396.825396825397,1.914,45.937,23.997,,,,0.2,12.577,0.167,11.143,2.5,2.859,2.794,1.429,3.38,0.033,0,0.009,0,0.036,0.006,0.005,0,0,,,,179.75,326.69
B-37-V27,David Eichenberg,Idesia polycarpa,2011,B,,V27,1309,t222270011309,,,16.3,5280,6280.21,17.69,323.926380368098,1.454,46.072,31.697,,,,0.191,23.394,0.213,26.912,9.294,1.215,7.769,1.61,11.759,0.991,0.002,0.027,0.018,0.127,0.004,0.012,0.003,0.004,,,,,
B-11-V27,David Eichenberg,Cyclobalanopsis glauca,2011,B,,V27,1408,t222270011408,,,2.28,1020,1565.62,13.32,447.368421052632,1.24,48.181,38.851,,,,0.185,21.661,0.183,15.741,3.842,1.698,8.019,1.412,2.789,0.061,0,0.013,0.002,0.08,0.003,0.004,0,0,,,,,
