Samplecode,Sample.Collector,Species,Year_Collected,Exp_Site,Exp_vicinity,Exp_Plot,Exp_Plot_Position,TAG,neighbour.tree_TAG,shrub.TAG,Leaf.fresh.weight,Leaf.dry.weight,LA,SLA,LDMC,N,C,CN,K,Mg,Ca,Al,Ca2,Fe,K2,Mg2,Mn,Na,P,S,Zn,Co,Cu,Pb,Sr,Cr,Ni,Cd214,Cd228,stomata.density,average.length,average.width,Phenolics,Tannin
B-17-D26,David Eichenberg,Cinnamomum camphora,2011,B,,D26,1615,t204260011615,,,2.36,1010,1733.02,10.19,427.966101694915,2.018,47.153,23.365,,,,0.526,23.877,0.191,11.085,4.184,4.883,2.03,1.654,3.377,0.065,0.001,0.011,0,0.084,0.008,0.006,0,0,,,,,
A-5e-D33,David Eichenberg,Eurya muricata,2011,A,,D33,315,,t104330010315,,0.88,260,1309.33,8.31,295.454545454545,0.903,43.213,47.847,,,,,,,,,,,,,,,,,,,,,,,,,,
A-2-E24,David Eichenberg,Pinus massoniana,2011,A,,E24,301,t105240010301,,,1.47,470,105.72,3.93,319.727891156463,1.209,47.816,39.559,,,,0.494,6.698,0.318,11.558,2.225,0.828,1.761,1.762,1.847,0.644,0.002,0.009,0,0.02,0.004,0.01,0,0,,,,6.159,6.873
B-2-E24,David Eichenberg,Pinus massoniana,2011,B,,E24,1101,t205240011101,,,2.29,770,326.54,8.45,336.244541484716,1.219,46.653,38.267,,,,0.325,5.24,0.146,10.727,1.574,0.871,5.756,1.159,2.139,0.127,0.002,0.012,0.024,0.026,0.008,0.008,0,0,,,,,
B-41-E25,David Eichenberg,Machilus leptophylla,2011,B,,E25,12,t205250010012,,,2.78,1100,2100.47,13.7,395.68345323741,1.396,47.011,33.68,,,,,,,,,,,,,,,,,,,,,,,,,,
B-15-E25,David Eichenberg,Diospyros japonica,2011,B,,E25,0401,t205250010401,,,8.37,2880,6499.39,12.5,344.086021505376,2.033,48.454,23.836,,,,,,,,,,,,,,,,,,,,,,,,,,
B-39-E25,David Eichenberg,Machilus grijsii,2011,B,,E25,502,t205250010502,,,0.57,230,531.99,19.35,403.508771929825,1.364,48.07,35.245,,,,1.413,10.099,0.842,23.135,2.483,3.341,7.527,1.77,2.723,0.092,0,0.026,0,0.061,0.02,0.01,0.004,0.003,,,,,
B-12-E25,David Eichenberg,Lithocarpus glaber,2011,B,,E25,0817,t205250010817,,,1.14,570,1529.34,7.28,500,,,,,,,0.295,6.957,0.197,9.474,1.524,0.647,2.238,1.235,2.333,0.065,0,0.014,0,0.021,0.006,0.009,0,0,,,,,
B-14-E25,David Eichenberg,Castanopsis sclerophylla,2011,B,,E25,0900,t205250010900,,,1.58,770,2170.09,6.73,487.341772151899,1.461,47.934,32.815,,,,0.19,5.335,0.221,3.618,1.338,1.173,6.044,0.63,1.455,0.044,0.002,0.015,0.019,0.034,0.014,0.004,0,0,,,,,
B-16-E25,David Eichenberg,Daphniphyllum oldhamii,2011,B,,E25,1005,t205250011005,,,4.09,1310,3594.63,8.61,320.293398533007,1.303,46.52,35.702,,,,,,,,,,,,,,,,,,,,,,,,,,
B-34-E25,David Eichenberg,Elaeocarpus chinensis,2011,B,,E25,1010,t205250011010,,,1.32,570,1125.01,10.47,431.818181818182,1.563,45.901,29.37,,,,0.216,10.206,0.152,14.242,2.827,2.008,6.839,1.45,4.159,0.039,0.002,0.017,0.003,0.052,0.005,0.002,0,0,,,,232.438,362.521
B-43-E25,David Eichenberg,Phoebe bournei,2011,B,,E25,1113,t205250011113,,,1.11,500,1158.25,10.53,450.45045045045,1.976,48.548,24.57,,,,,,,,,,,,,,,,,,,,,,,,,,
B-11-E25,David Eichenberg,Cyclobalanopsis glauca,2011,B,,E25,1903,t205250011903,,,2.06,1020,2129.3,7.6,495.145631067961,1.331,47.108,35.394,,,,0.287,18.454,0.211,9.992,4.378,1.774,6.712,1.104,2.783,0.021,0,0.011,0,0.088,0.008,0,0.002,0,,,,,
B-16p-E26,David Eichenberg,Ficus erecta,2011,B,,E26,19,,t205260010019,,0.32,90,1542.37,14.35,281.25,2.476,45.346,18.317,,,,,,,,,,,,,,,,,,,,,,,,,,
B-11k-E26,David Eichenberg,Viburnum setigerum,2011,B,,E26,0316,,t205260010316,,1.23,470,1371.67,8.85,382.113821138211,1.428,47.488,33.246,,,,,,,,,,,,,,,,,,,,,,,,,,
A-12-E26,David Eichenberg,Lithocarpus glaber,2011,A,,E26,505,t105260010505,,,1.93,910,1806.72,9.51,471.502590673575,1.578,48.588,30.782,,,,0.101,5.522,0.195,9.207,2.119,0.374,2.385,0.74,1.538,0.017,0,0.001,0,0.025,0.01,0,0,0,,,,,
A-11-E26,David Eichenberg,Cyclobalanopsis glauca,2011,A,,E26,1001,t105260011001,,,1.65,840,1204.79,6.98,509.090909090909,1.44,45.757,31.778,,,,,,,,,,,,,,,,,,,,,,,,,35.387,53.93
A-24-E26,David Eichenberg,Quercus fabri,2011,A,,E26,1101,t105260011101,,,1.1,590,2029.95,10.97,536.363636363636,2.03,47.861,23.574,,,,,,,,,,,,,,,,,,,,,,,,,48.802,77.15
A-17-E26,David Eichenberg,Cinnamomum camphora,2011,A,,E26,1209,t105260011209,,,2.13,970,2245.91,10.57,455.399061032864,1.461,48.375,33.113,,,,0.534,19.607,0.25,9.657,4.907,1.515,1.89,1.131,2.736,0.1,0.018,0.014,0,0.116,0.006,0,0,0,,,,47.328,53.368
B-15o-E27,David Eichenberg,Phyllanthus glaucus,2011,B,,E27,1918,,t205270011918,,0.74,240,934,14.1,324.324324324324,2.615,44.332,16.956,,,,0.19,20.33,0.26,11.77,3.69,1.32,2.38,1.97,3.48,0.04,0,0.02,0,0.05,0.02,0.01,0,0,,,,,
diogla_A_E29_0601_22-08-12,Wenzel Kroeber,Diospyros japonica,2012,A,,E29,0601,t105290010601,,,3.16,1340,20594.532,424.051,424.05063291139237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dapold_A_E29_1309_13-09-12,Wenzel Kroeber,Daphniphyllum oldhamii,2012,A,,E29,1309,t105290011309,,,4.82,1650,15356.929,342.324,342.323651452282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-4d-E33,David Eichenberg,Distylium myricoides,2011,A,,E33,18,,t105330010018,,0.65,260,1540.23,8.11,400,0.84,44.284,52.7,,,,,,,,,,,,,,,,,,,,,,,,,66.093,78.676
A-1-E35,David Eichenberg,Castanea henryi,2011,A,,E35,302,t105350010302,,,1.77,730,2597.62,15.74,412.429378531073,1.791,46.978,26.236,,,,0.765,10.534,0.255,12.407,3.904,3.644,6.386,1.491,3.392,0.148,0.003,0.015,0,0.042,0.007,0.004,0.003,0,,,,93.448,144.053
A-2-E36,David Eichenberg,Pinus massoniana,2011,A,,E36,307,t105360010307,,,2.31,780,145.03,3.86,337.662337662338,1.349,47.679,35.342,,,,,,,,,,,,,,,,,,,,,,,,,,
B-32-F25,David Eichenberg,Castanopsis fargesii,2011,B,,F25,6,t206250010006,,,1.02,490,1688.09,12.28,480.392156862745,1.704,47.367,27.791,,,,,,,,,,,,,,,,,,,,,,,,,,
B-40-F25,David Eichenberg,Machilus thunbergii,2011,B,,F25,216,t206250010216,,,2.03,910,851.48,13.62,448.275862068966,1.519,47.451,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,
B-13m-F27,David Eichenberg,Itea chinensis,2011,B,,F27,1,,t206270010001,,1.48,500,1122.86,10.95,337.837837837838,1.62,46.115,28.468,,,,1.487,18.502,0.92,11.16,3.314,1.71,2.589,2.097,4.197,0.262,0,0.008,0,0.087,0.017,0.006,0.003,0.003,,,,,
koebip_A_F28_0413_13-09-12,Wenzel Kroeber,Koelreuteria bipinnata,2012,A,,F28,413,t106280010413,,,38.54,20720,222812.895,537.623,537.623248572911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koebip_A_F28_0914_09-09-12,Wenzel Kroeber,Koelreuteria bipinnata,2012,A,,F28,0914,t106280010914,,,71.86,36270,283236.423,504.731,504.731422209852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cycmyr_A_F28_1713_09-09-12,Wenzel Kroeber,Cyclobalanopsis myrsinifolia,2012,A,,F28,1713,t106280011713,,,3.12,1470,10998.003,471.154,471.153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascar_A_F29_0000_13-09-12,Wenzel Kroeber,Castanopsis carlesii,2012,A,,F29,0,t106290010000,,,1.42,580,6464.519,408.451,408.450704225352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascar_A_F29_0005_13-09-12,Wenzel Kroeber,Castanopsis carlesii,2012,A,,F29,5,t106290010005,,,1.23,660,6083.109,536.585,536.585365853659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quefag_A_F30_1201_22-08-12,Wenzel Kroeber,Quercus fabri,2012,A,,F30,1201,t106300011201,,,2.99,1620,14562.55,541.806,541.80602006689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quefag_A_F30_1310_13-09-12,Wenzel Kroeber,Quercus fabri,2012,A,,F30,1310,t106300011310,,,3.87,1550,14264.773,400.517,400.516795865633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quefag_A_F30_1416_13-09-12,Wenzel Kroeber,Quercus fabri,2012,A,,F30,1416,t106300011416,,,3.15,1880,12207.78,596.825,596.825396825397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-9i-F32,David Eichenberg,Euonymus myrianthus,2011,A,,F32,317,,t106320010317,,0.55,190,806.87,16.14,345.454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-2b-F33,David Eichenberg,Camellia chekiangoleosa,2011,A,,F33,0408,,t106330010408,,3.2,820,1576.85,9.28,256.25,1.26,44.077,34.982,,,,,,,,,,,,,,,,,,,,,,,,,,
A-3c-F35,David Eichenberg,Distylium buxifolium,2011,A,,F35,116,,t106350010116,,0.59,200,537.46,7.26,338.983050847458,0.951,45.257,47.61,,,,,,,,,,,,,,,,,,,,,,,,,94.643,52.996
B-31-G22,David Eichenberg,Betula luminifera,2011,B,,G22,0915,t203270010915,,,2.48,207.5,4422.46,21.31,83.6693548387097,2.371,45.533,19.201,,,,,,,,,,,,,,,,,,,,,,,,,,
A-28-G23,David Eichenberg,Cunninghamia lanceolata,2011,A,,G23,201,t107230010201,,,1.17,440,81.42,6.65,376.068376068376,1.106,47.177,42.641,,,,,,,,,,,,,,,,,,,,,,,,,32.635,33.735
A-21-G26,David Eichenberg,Triadica sebifera,2011,A,,G26,210,t107260010210,,,1.92,740,3047.93,15.24,385.416666666667,2.28,45.511,19.962,,,,,,,,,,,,,,,,,,,,,,,,,38.995,246.703
A-10j-G26,David Eichenberg,Loropetalum chinense,2011,A,,G26,0708,,t107260010708,,0.47,190,178.31,25.76,404.255319148936,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.493,80.235
A-8h-G26,David Eichenberg,Gardenia jasminoides,2011,A,,G26,1503,,t107260011503,,1.45,560,1212.83,13.18,386.206896551724,2.14,43.255,20.216,,,,,,,,,,,,,,,,,,,,,,,,,3.234,8.682
A-9i-G26,David Eichenberg,Euonymus myrianthus,2011,A,,G26,1603,,t107260011603,,0.13,50,331.86,66.37,384.615384615385,1.402,46.246,32.992,,,,,,,,,,,,,,,,,,,,,,,,,6.704,0.398
A-4d-G26,David Eichenberg,Distylium myricoides,2011,A,,G26,1716,,t107260011716,,1.75,760,1159.33,8.43,434.285714285714,1.162,44.049,37.926,,,,,,,,,,,,,,,,,,,,,,,,,48.132,76.378
A-14-G26,David Eichenberg,Castanopsis sclerophylla,2011,A,,G26,1803,t107260011803,,,1.43,760,1750.45,8.86,531.468531468532,1.129,47.397,41.986,,,,,,,,,,,,,,,,,,,,,,,,,6.016,41.955
A-2b-G26,David Eichenberg,Camellia chekiangoleosa,2011,A,,G26,1803,,t107260011803,,1.13,340,3037.95,5.59,300.884955752212,1.374,43.69,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,
A-7g-G26,David Eichenberg,Syzygium buxifolium,2011,A,,G26,1807,,t107260011807,,1.05,510,134.99,8.63,485.714285714286,1.069,48.557,45.421,,,,,,,,,,,,,,,,,,,,,,,,,89.308,79.422
A-8-G26,David Eichenberg,Quercus serrata,2011,A,,G26,1808,t107260011808,,,1.03,600,1424.74,15,582.52427184466,1.848,47.407,25.649,,,,,,,,,,,,,,,,,,,,,,,,,33.547,131.197
A-6f-G26,David Eichenberg,Rhaphiolepis indica,2011,A,,G26,1811,,t107260011811,,1.27,550,1084.33,5.42,433.070866141732,1.216,46.495,38.229,,,,,,,,,,,,,,,,,,,,,,,,,9.024,14.086
sapmuk_A_G31_0601_22-08-12,Wenzel Kroeber,Sapindus saponaria,2012,A,,G31,0601,t107310010601,,,40.14,18130,239306.207,451.669,451.669157947185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liqfor_A_G31_0801_22-08-12,Wenzel Kroeber,Liquidambar formosana,2012,A,,G31,0801,t107310010801,,,6.02,2460,25182.629,408.638,408.637873754153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diogla_A_G32_0502_17-08-12,Wenzel Kroeber,Diospyros japonica,2012,A,,G32,502,t107320010502,,,11.13,4300,43432.254,386.343,386.343216531896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyssin_A_G32_0606_17-08-12,Wenzel Kroeber,Nyssa sinensis,2012,A,,G32,0606,t107320010606,,,7.32,2840,32781.966,387.978,387.978142076503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schsup_A_G32_0805_17-08-12,Wenzel Kroeber,Schima superba,2012,A,,G32,0805,t107320010805,,,4.5,1900,17186.249,422.222,422.222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapdis_A_G32_0806_17-08-12,Wenzel Kroeber,Triadica cochinchinensis,2012,A,,G32,0806,t107320010806,,,3.48,1490,13295.192,428.161,428.16091954023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-24-G33,David Eichenberg,Quercus fabri,2011,A,,G33,203,t107330010203,,,1.52,740,1580.89,13.17,486.842105263158,1.768,46.473,26.291,,,,,,,,,,,,,,,,,,,,,,,,,127.262,132.615
A-19-G34,David Eichenberg,Sapindus saponaria,2011,A,,G34,201,t107340010201,,,11.28,3910,41411.09,13.58,346.631205673759,1.429,46.529,32.566,,,,0.185,18.079,0.28,16.862,5.032,1.426,2.039,1.417,3.821,0.108,0.001,0.014,0,0.062,0.007,0.005,0,0,,,,13.574,1.814
A-25-G34,David Eichenberg,Quercus acutissima,2011,A,,G34,215,t107340010215,,,2,970,2635.05,12.85,485,1.98,48.694,24.596,,,,,,,,,,,,,,,,,,,,,,,,,127.5,89.85
choaxi_A_G34_0406_23-08-12,Wenzel Kroeber,Choerospondias axillaris,2012,A,,G34,406,t107340010406,,,19.44,8290,84498.866,426.44,426.440329218107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashen_A_G34_0412_23-08-12,Wenzel Kroeber,Castanea henryi,2012,A,,G34,412,t107340010412,,,2.66,1270,11464.247,477.444,477.443609022556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-27-G34,David Eichenberg,Acer davidii,2011,A,,G34,413,t107340010413,,,2.05,550,4017.83,14.74,268.292682926829,1.313,44.827,34.144,,,,0.567,14.087,0.475,18.723,5.356,3.142,2.582,2.625,5.316,0.089,0.001,0.007,0,0.047,0.008,0.005,0,0,,,,,
A-12-G34,David Eichenberg,Lithocarpus glaber,2011,A,,G34,417,t107340010417,,,1.7,760,1227.42,10.67,447.058823529412,1.13,48.475,42.916,,,,0.166,12.126,0.166,8.516,2.295,1.079,2.237,0.843,1.668,0.09,0.001,0.004,0,0.028,0.004,0.006,0,0,,,,,
cycmyr_A_G34_0512_23-08-12,Wenzel Kroeber,Cyclobalanopsis myrsinifolia,2012,A,,G34,512,t107340010512,,,1.88,1010,6695.604,537.234,537.234042553192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-9-G34,David Eichenberg,Cyclobalanopsis myrsinifolia,2011,A,,G34,512,t107340010512,,,1.51,740,1357.89,9.53,490.066225165563,1.41,45.736,32.433,,,,0.21,16.39,0.36,14.17,2.77,3.04,2.41,1.43,3.14,0.03,0,0.01,0,0.02,0.03,0.01,0,0,,,,,
A-22-G34,David Eichenberg,Triadica cochinchinensis,2011,A,,G34,513,t107340010513,,,1.46,450,3753.85,15.64,308.219178082192,1.871,46.157,24.676,,,,,,,,,,,,,,,,,,,,,,,,,,
A-15-G34,David Eichenberg,Diospyros japonica,2011,A,,G34,516,t107340010516,,,6.91,2180,5253.96,14.39,315.48480463097,1.608,46.304,28.797,,,,0.253,18.726,0.288,46.414,5.558,3.394,2.616,1.614,4.438,0.039,0,0.007,0,0.027,0.006,0.004,0,0,,,,,
rhuchi_A_G34_0609_23-08-12,Wenzel Kroeber,Rhus chinensis,2012,A,,G34,0609,t107340010609,,,50.33,20890,177271.662,415.061,415.060600039738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-23-G34,David Eichenberg,Rhus chinensis,2011,A,,G34,0810,t107340010810,,,8.46,3010,20042.8,10.44,355.791962174941,1.941,50.147,25.832,,,,0.194,18.805,0.322,17.073,4.51,0.058,1.644,1.323,2.784,0.053,0,0.008,0,0.074,0.003,0.003,0,0,,,,,
A-2-H14,David Eichenberg,Pinus massoniana,2011,A,,H14,1507,t108140011507,,,4.14,1240,91.04,2.32,299.51690821256,1.077,44.428,41.261,,,,0.321,7.539,0.254,15.632,2.995,0.893,6.668,1.904,2.708,0.076,0.001,0.021,0.008,0.038,0.009,0.013,0,0.002,,,,,
nyssin_A_H25_1902_09-09-12,Wenzel Kroeber,Nyssa sinensis,2012,A,,H25,1902,t108250011902,,,6.04,1870,28490.962,309.603,309.602649006623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-3-H9/I9,David Eichenberg,Schima superba,2011,A,,H9/I9,0401,t108091010401,,,3.22,1270,3459.04,9.68,394.409937888199,0.905,48.068,53.098,,,,1.676,7.567,0.192,18.135,3.626,4.348,6.433,1.227,3.482,0.002,0,0.008,0,0.051,0.007,0.008,0,0.002,,,,,
A-21-H9/I9,David Eichenberg,Triadica sebifera,2011,A,,H9/I9,0604,t108091010604,,,2.31,800,2466.99,14.95,346.320346320346,2.427,45.149,18.606,,,,0.169,12.786,0.161,12.676,6.351,1.745,1.755,1.692,3.365,0.055,0.237,0.02,0.001,0.099,0.004,0.046,0,0,,,,,
A-6-H9/I9,David Eichenberg,Liquidambar formosana,2011,A,,H9/I9,0703,t108091010703,,,3.85,1390,3515.83,10.9,361.038961038961,1.548,46.031,29.745,,,,1.017,13.253,0.321,13.34,4.116,2.971,8.213,1.637,3.455,0.056,0,0.016,0,0.058,0.01,0.025,0,0,,,,65.756,119.104
A-14-H9/I9,David Eichenberg,Castanopsis sclerophylla,2011,A,,H9/I9,0718,t108091010718,,,1.71,790,1691.98,7.36,461.988304093567,0.763,47.518,62.267,,,,0.518,8.047,0.192,9.418,2.681,2.086,1.796,1.305,2.169,0.06,0.003,0.013,0,0.027,0.006,0.005,0,0,,,,,
A-15-H9/I9,David Eichenberg,Diospyros japonica,2011,A,,H9/I9,0803,t108091010803,,,4.1,1460,4888.88,14.7,356.09756097561,1.768,46.799,26.477,,,,0.158,23.168,0.218,20.562,9.467,2.598,2.66,1.502,5.005,1.865,0,0.01,0,0.073,0.001,0.01,0,0,,,,18.234,29.513
B-38-I22,David Eichenberg,Meliosma flexuosa,2011,B,,I22,4,t209220010004,,,4.44,1420,6664.23,15.68,319.81981981982,1.318,46.328,35.143,,,,0.521,12.525,0.257,18.784,4.098,3.445,2.401,1.591,3.089,0.364,0,0.02,0,0.042,0.003,0.006,0,0,,,,,
B-39-I22,David Eichenberg,Machilus grijsii,2011,B,,I22,410,t209220010410,,,0.28,110,1139.99,10.36,392.857142857143,1.793,49.414,27.565,,,,,,,,,,,,,,,,,,,,,,,,,87.061,25.566
B-44-I22,David Eichenberg,Quercus phillyreoides,2011,B,,I22,507,t209220010507,,,0.92,490,557.69,8.87,532.608695652174,1.294,47.491,36.689,,,,0.269,9.062,0.242,8.505,2.058,3.462,6.528,1.241,2.097,0.075,0,0.012,0,0.037,0.014,0.009,0.003,0.002,,,,121.318,141.015
B-43-I22,David Eichenberg,Phoebe bournei,2011,B,,I22,910,t209220010910,,,0.85,440,673.17,12.24,517.647058823529,1.686,48.509,28.768,,,,0.291,14.173,0.27,23.346,2.482,3.011,7.129,1.594,3.334,0.18,0,0.025,0.01,0.071,0.017,0.01,0,0,,,,,
elajap_B_I22_1600_31-08-12,Wenzel Kroeber,Elaeocarpus japonicus,2012,B,,I22,1600,t209220011600,,,2.62,1100,10249.29,419.847,419.847328244275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-30-I22,David Eichenberg,Alniphyllum fortunei,2011,B,,I22,1716,t209220011716,,,2.41,790,2672.02,12.57,327.800829875519,1.833,46.068,25.132,,,,,,,,,,,,,,,,,,,,,,,,,,
B-13-I23,David Eichenberg,Castanopsis eyrei,2011,B,,I23,0717,t209230010717,,,0.64,330,1107.29,7.64,515.625,1.56,48.104,30.828,,,,0.201,9.012,0.231,9.214,2.677,2.076,7.237,1.062,2.669,0.084,0,0.018,0,0.043,0.02,0.01,0,0,,,,,
elachi_B_I23_1415_31-08-12,Wenzel Kroeber,Elaeocarpus chinensis,2012,B,,I23,1415,t209230011415,,,1.99,860,7144.675,432.161,432.1608040201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alnfor_B_I23_1619_31-08-12,Wenzel Kroeber,Alniphyllum fortunei,2012,B,,I23,1619,t209230011619,,,3.55,1390,15701.791,391.549,391.549295774648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manyuy_B_I24_1511_31-08-12,Wenzel Kroeber,Manglietia fordiana,2012,B,,I24,1511,t209240011511,,,6.54,2300,19623.529,351.682,351.681957186544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapseb_A_I26_0018_09-09-12,Wenzel Kroeber,Triadica sebifera,2012,A,,I26,18,t109260010018,,,1.5,520,7358.211,346.667,346.666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-17-I27,David Eichenberg,Cinnamomum camphora,2011,B,,I27,1100,t209270011100,,,1.5,680,1859.49,9.79,453.333333333333,,,,,,,0.111,24.277,0.295,5.578,5.305,4.836,5.783,1.032,2.261,0.033,0,0.018,0.017,0.128,0.03,0.012,0,0,,,,,
sapseb_A_I27_1316_09-09-12,Wenzel Kroeber,Triadica sebifera,2012,A,,I27,1316,t109270011316,,,1.86,740,7974.283,397.849,397.849462365591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liqfor_A_I28_1011_09-09-12,Wenzel Kroeber,Liquidambar formosana,2012,A,,I28,1011,t109280011011,,,6.88,2670,29955.938,388.081,388.081395348837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-38-I28,David Eichenberg,Meliosma flexuosa,2011,B,,I28,1119,t209280011119,,,4.93,1700,7182.42,14.08,344.827586206897,1.382,46.268,33.478,,,,0.465,13.122,0.277,15.007,3.511,2.654,6.217,1.521,4.23,0.129,0.002,0.017,0.007,0.057,0.014,0.011,0,0.003,,,,,
B-43-I28,David Eichenberg,Phoebe bournei,2011,B,,I28,1510,t209280011510,,,0.48,220,341.26,12.41,458.333333333333,2.541,47.132,18.549,,,,0.348,5.144,0.155,11.158,1.616,0.895,5.98,1.172,2.161,0.079,0.002,0.013,0.019,0.027,0.008,0.002,0,0,,,,,
B-37-I28,David Eichenberg,Idesia polycarpa,2011,B,,I28,1519,t209280011519,,,7.12,2310,15968.02,12.57,324.438202247191,1.745,44.691,25.617,,,,,,,,,,,,,,,,,,,,,,,,,,
B-29-I28,David Eichenberg,Ailanthus altissima,2011,B,,I28,1608,t209280011608,,,8.43,2970,33014.87,9.57,352.313167259786,2.416,46.324,19.175,,,,,,,,,,,,,,,,,,,,,,,,,,
B-33-I28,David Eichenberg,Celtis biondii,2011,B,,I28,1611,t209280011611,,,0.7,180,321.5,16.08,257.142857142857,2.167,43.321,19.991,,,,,,,,,,,,,,,,,,,,,,,,,,
B-35-I28,David Eichenberg,Elaeocarpus glabripetalus,2011,B,,I28,1615,t209280011615,,,2.89,1110,1893.16,11.3,384.083044982699,1.545,44.958,29.105,,,,0,0,0,0,0,0,0,0.011,0,0,0.003,0,0.007,0,0.001,0,0,0,,,,206.747,305.816
B-14n-I28,David Eichenberg,Rhododendron ovatum,2011,B,,I28,1616,,t209280011616,,0.71,310,521.29,8.69,436.619718309859,1.222,47.501,38.858,,,,0.797,16.748,0.512,15.165,5.282,1.119,2.503,1.868,2.426,0.08,0,0.005,0,0.033,0.014,0.01,0,0,,,,,
B-18r-I28,David Eichenberg,Hydrangea chinensis,2011,B,,I28,1715,,t209280011715,,1.09,300,1172.29,18.04,275.229357798165,1.765,45.358,25.693,,,,,,,,,,,,,,,,,,,,,,,,,12.549,2.675
B-39-I28,David Eichenberg,Machilus grijsii,2011,B,,I28,1716,t209280011716,,,0.95,440,656.53,13.82,463.157894736842,1.621,47.862,29.523,,,,,,,,,,,,,,,,,,,,,,,,,,
B-13m-I28,David Eichenberg,Itea chinensis,2011,B,,I28,1815,,t209280011815,,1.19,410,1511.16,14.06,344.53781512605,1.336,46.499,34.809,,,,,,,,,,,,,,,,,,,,,,,,,,
B-36-I28,David Eichenberg,Elaeocarpus japonicus,2011,B,,I28,1816,t209280011816,,,4.11,1570,2492.51,9.87,381.995133819951,1.392,45.705,32.83,,,,,,,,,,,,,,,,,,,,,,,,,,
melfle_B_I28_1817_26-08-12,Wenzel Kroeber,Meliosma flexuosa,2012,B,,I28,1817,t209280011817,,,4.51,1810,25292.312,401.33,401.330376940133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macgri_B_I28_1818_01-09-12,Wenzel Kroeber,Machilus grijsii,2012,B,,I28,1818,t209280011818,,,6.65,2790,26940.07,419.549,419.548872180451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-26-I30,David Eichenberg,Melia azedarach,2011,A,,I30,118,t109300010118,,,9.66,3220,48583.88,15.88,333.333333333333,3.062,46.835,15.294,,,,,,,,,,,,,,,,,,,,,,,,,,
A-18-I30,David Eichenberg,Koelreuteria bipinnata,2011,A,,I30,1017,t109300011017,,,7.38,3650,40734.64,12.61,494.579945799458,1.422,47.293,33.254,,,,0.29,13.58,0.37,12.89,5.13,0.15,2.46,1.19,2.42,0.04,0,0.01,0,0.05,0,0,0,0,,,,,
A_J13_22_sapdis,Wenzel Kroeber,Triadica cochinchinensis,2010,A,,J13,,,,,0.948,348,5060.46,14.542,367.088607594937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.J13.22.sapdis,Wenzel Kroeber,Triadica cochinchinensis,,A,,J13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.857,12.578,,
A-9-J14-1601-CR,Christian Ristok,Cyclobalanopsis myrsinifolia,2011,A,,J14,1601,t110140011601,,,,,,,,,,,,,,0.88,8.61,0.8,4.93,3.28,2.66,2.28,0.8,1.86,-0.01,0,0.01,0,0.03,0.2,0.1,0,0,,,,43.104,3.591
.J14.18.koebip,Wenzel Kroeber,Koelreuteria bipinnata,,A,,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,21.337,14.591,,
A_J14_03_schsup,Wenzel Kroeber,Schima superba,2010,A,,J14,,,,,1.046,385,5391.61,14.004,368.068833652008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_J14_11_cycgla,Wenzel Kroeber,Cyclobalanopsis glauca,2010,A,,J14,,,,,1.397,682,6419.2,9.412,488.188976377953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
