surface_tyoe,sample_points_2007,sample_points_2012
Stable surfaces,49.8,51.30676249591637
Unstable surfaces,39.25187847108788,41.375367526951976
Extensively disturbed surfaces,7.0075138843515195,7.317869977131656
Unclassified,3.9366220189480563,0
