Taxon,CSP,age class,abundance,Taxonomic.assignment
OTU_0001,CSP01,medium,74,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0003,CSP01,medium,22,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0004,CSP01,medium,54,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_0005,CSP01,medium,4,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae
OTU_0009,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0013,CSP01,medium,6,Fungi;Ascomycota; Leptodontidium
OTU_0014,CSP01,medium,5,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Thelephoraceae; Thelephora
OTU_0019,CSP01,medium,10,Fungi;Ascomycota
OTU_0032,CSP01,medium,64,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales Cryptococcus
OTU_0044,CSP01,medium,43,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0048,CSP01,medium,13,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales
OTU_0050,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae; Hypomyces
OTU_0054,CSP01,medium,7,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Atheliales; Atheliaceae; Piloderma
OTU_0056,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Onygenales; Ascosphaeraceae; Ascosphaera
OTU_0058,CSP01,medium,3,Fungi;Ascomycota
OTU_0059,CSP01,medium,27,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0065,CSP01,medium,4,Fungi;Ascomycota
OTU_0067,CSP01,medium,7,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Psathyrellaceae; Psathyrella
OTU_0069,CSP01,medium,14,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0070,CSP01,medium,6,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Leotiaceae; Leotia
OTU_0071,CSP01,medium,37,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae; Hypocrea
OTU_0072,CSP01,medium,26,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_0077,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Dermateaceae; Cryptosporiopsis
OTU_0078,CSP01,medium,11,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Lyophyllaceae; Asterophora
OTU_0079,CSP01,medium,10,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales
OTU_0081,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leohumicola
OTU_0082,CSP01,medium,5,Fungi
OTU_0084,CSP01,medium,9,Fungi
OTU_0085,CSP01,medium,6,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Nectriaceae; Ilyonectria
OTU_0086,CSP01,medium,3,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Helotiaceae; Holwaya
OTU_0088,CSP01,medium,11,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Entolomataceae; Clitopilus
OTU_0090,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Talaromyces
OTU_0092,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0094,CSP01,medium,13,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_0096,CSP01,medium,28,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Filobasidiales Cryptococcus
OTU_0097,CSP01,medium,6,Fungi
OTU_0098,CSP01,medium,3,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Agaricaceae; Lepiota
OTU_0101,CSP01,medium,7,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0103,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leohumicola
OTU_0110,CSP01,medium,4,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes
OTU_0111,CSP01,medium,4,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes
OTU_0113,CSP01,medium,4,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0115,CSP01,medium,4,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Hyaloscyphaceae; Arachnopeziza
OTU_0119,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae
OTU_0121,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Cantharellales; Ceratobasidiaceae; Ceratobasidium
OTU_0124,CSP01,medium,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Cantharellales; Hydnaceae; Hydnum
OTU_0127,CSP01,medium,4,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales Phialocephala
OTU_0129,CSP01,medium,4,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Psathyrellaceae
OTU_0130,CSP01,medium,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Tricholomataceae; Clitocybula
OTU_0131,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Helotiaceae; Holwaya
OTU_0132,CSP01,medium,1,Fungi
OTU_0134,CSP01,medium,5,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Strophariaceae; Pholiota
OTU_0135,CSP01,medium,3,Fungi;Ascomycota
OTU_0137,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Helotiaceae
OTU_0139,CSP01,medium,6,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales
OTU_0141,CSP01,medium,1,Fungi;Ascomycota
OTU_0149,CSP01,medium,2,Fungi
OTU_0151,CSP01,medium,6,Fungi
OTU_0153,CSP01,medium,6,Fungi
OTU_0165,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0169,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Chaetosphaeriales; Chaetosphaeriaceae; Chloridium
OTU_0181,CSP01,medium,3,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0193,CSP01,medium,5,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_0200,CSP01,medium,3,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Clavicipitaceae; Paecilomyces
OTU_0215,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales Chalara
OTU_0233,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0235,CSP01,medium,18,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales Trichosporon
OTU_0251,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Entolomataceae; Clitopilus
OTU_0257,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0278,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0307,CSP01,medium,2,Fungi;Ascomycota
OTU_0322,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0327,CSP01,medium,14,Fungi
OTU_0332,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Cordycipitaceae; Beauveria
OTU_0334,CSP01,medium,2,Fungi
OTU_0345,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0371,CSP01,medium,3,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_0389,CSP01,medium,3,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae
OTU_0405,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0430,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0443,CSP01,medium,2,Fungi
OTU_0444,CSP01,medium,1,Fungi;Ascomycota; Spirosphaera
OTU_0446,CSP01,medium,2,Fungi;Ascomycota
OTU_0450,CSP01,medium,5,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; Capronia
OTU_0464,CSP01,medium,3,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes
OTU_0489,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales Cryptococcus
OTU_0492,CSP01,medium,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Auriculariales; Hyaloriaceae; Pseudohydnum
OTU_0501,CSP01,medium,5,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Thelephoraceae; Thelephora
OTU_0504,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Rhytismatales; Rhytismataceae; Lophodermium
OTU_0522,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales Hyalodendriella
OTU_0603,CSP01,medium,4,Fungi;Ascomycota; Leptodontidium
OTU_0607,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Entolomataceae; Entoloma
OTU_0615,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Sordariales; Paecilomyces
OTU_0620,CSP01,medium,2,Fungi
OTU_0623,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0630,CSP01,medium,3,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Thelephoraceae
OTU_0655,CSP01,medium,1,Fungi
OTU_0656,CSP01,medium,7,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Talaromyces
OTU_0664,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0682,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae; Hypocrea
OTU_0689,CSP01,medium,1,Fungi;Ascomycota; mitosporic Ascomycota; Dothideomycetes
OTU_0709,CSP01,medium,2,Fungi
OTU_0718,CSP01,medium,5,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Elaphomycetaceae; Elaphomyces
OTU_0721,CSP01,medium,3,Fungi;Mucoromycotina; Mucorales
OTU_0728,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Clavicipitaceae; Paecilomyces
OTU_0742,CSP01,medium,1,Fungi
OTU_0794,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae
OTU_0796,CSP01,medium,8,Fungi
OTU_0805,CSP01,medium,4,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0812,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0819,CSP01,medium,1,Fungi
OTU_0821,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Thelephoraceae; Tomentella
OTU_0834,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Tricholomataceae; Mycena
OTU_0836,CSP01,medium,1,Fungi
OTU_0838,CSP01,medium,5,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0846,CSP01,medium,4,Fungi;Ascomycota; Leptodontidium
OTU_0871,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0872,CSP01,medium,5,Fungi
OTU_0873,CSP01,medium,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Bankeraceae; Boletopsis
OTU_0874,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0876,CSP01,medium,1,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_0884,CSP01,medium,8,Fungi
OTU_0903,CSP01,medium,2,Fungi;Ascomycota
OTU_0904,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae; Hypocrea
OTU_0906,CSP01,medium,1,Fungi
OTU_0937,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Coniochaetales; Coniochaetaceae; Lecythophora
OTU_0938,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Dermateaceae; Dermea
OTU_0963,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0964,CSP01,medium,1,Fungi
OTU_0970,CSP01,medium,7,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae; Hypocrea
OTU_0988,CSP01,medium,1,Fungi
OTU_0994,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Sagenomella
OTU_0999,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales
OTU_1021,CSP01,medium,3,Fungi;Ascomycota; Pezizomycotina; Dothideomycetes; Dothideomycetes incertae sedis; Venturiaceae; Cylindrosympodium
OTU_1039,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Rhytismatales; Rhytismataceae
OTU_1046,CSP01,medium,8,Fungi
OTU_1047,CSP01,medium,3,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_1064,CSP01,medium,3,Fungi
OTU_1065,CSP01,medium,1,Fungi
OTU_1093,CSP01,medium,2,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales Cryptococcus
OTU_1099,CSP01,medium,1,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_1125,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Cantharellales; Hydnaceae; Hydnum
OTU_1143,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Pezizomycetes; Pezizales
OTU_1145,CSP01,medium,4,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Clavariaceae; Clavaria
OTU_1146,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales
OTU_1154,CSP01,medium,3,Fungi;Mucoromycotina; Mucorales
OTU_1167,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Thelephoraceae; Thelephora
OTU_1196,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Chaetosphaeriales; Chaetosphaeriaceae; Chloridium
OTU_1220,CSP01,medium,2,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_1230,CSP01,medium,2,Fungi;Glomeromycota Glomeromycetes; Glomerales; Glomeraceae; Glomus
OTU_1237,CSP01,medium,3,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Thelephoraceae; Thelephora
OTU_1245,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; Cladophialophora
OTU_1290,CSP01,medium,1,Fungi;Mucoromycotina
OTU_1322,CSP01,medium,1,Fungi
OTU_1385,CSP01,medium,8,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_1399,CSP01,medium,14,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_1412,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_1413,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_1456,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Polyporales; Auriscalpiaceae; Clavicorona
OTU_1467,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_1474,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Asterotremella
OTU_1509,CSP01,medium,2,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae; Hypocrea
OTU_1588,CSP01,medium,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_1639,CSP01,medium,1,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae
OTU_1663,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales
OTU_1726,CSP01,medium,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Tricholomataceae; Mycena
OTU_1739,CSP01,medium,4,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_1740,CSP01,medium,1,Fungi;Ascomycota; Cenococcum
OTU_1767,CSP01,medium,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_1864,CSP01,medium,1,Fungi
OTU_1905,CSP01,medium,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_2019,CSP01,medium,2,Fungi
OTU_0001,CSP02,old,5,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0005,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae
OTU_0008,CSP02,old,80,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Amanitaceae; Amanita
OTU_0009,CSP02,old,122,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0011,CSP02,old,85,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0013,CSP02,old,20,Fungi;Ascomycota; Leptodontidium
OTU_0014,CSP02,old,3,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Thelephorales; Thelephoraceae; Thelephora
OTU_0032,CSP02,old,87,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales Cryptococcus
OTU_0038,CSP02,old,7,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Atheliales; Atheliaceae
OTU_0044,CSP02,old,15,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0065,CSP02,old,3,Fungi;Ascomycota
OTU_0067,CSP02,old,6,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Psathyrellaceae; Psathyrella
OTU_0071,CSP02,old,11,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Hypocreaceae; Hypocrea
OTU_0072,CSP02,old,7,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_0078,CSP02,old,7,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Lyophyllaceae; Asterophora
OTU_0084,CSP02,old,1,Fungi
OTU_0094,CSP02,old,1,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_0096,CSP02,old,2,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Filobasidiales Cryptococcus
OTU_0097,CSP02,old,1,Fungi
OTU_0101,CSP02,old,3,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0103,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leohumicola
OTU_0110,CSP02,old,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes
OTU_0113,CSP02,old,3,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0139,CSP02,old,9,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales
OTU_0149,CSP02,old,1,Fungi
OTU_0165,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0172,CSP02,old,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Tricholomataceae; Callistosporium
OTU_0176,CSP02,old,3,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Polyscytalum
OTU_0177,CSP02,old,4,Fungi;Ascomycota; Pezizomycotina
OTU_0178,CSP02,old,21,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0181,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Leotiomycetes incertae sedis; Myxotrichaceae; Oidiodendron
OTU_0188,CSP02,old,1,Fungi;Ascomycota
OTU_0190,CSP02,old,6,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Agaricaceae; Leucoagaricus
OTU_0191,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Dermateaceae; Cryptosporiopsis
OTU_0193,CSP02,old,8,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_0197,CSP02,old,13,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales
OTU_0199,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0200,CSP02,old,12,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Clavicipitaceae; Paecilomyces
OTU_0202,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Orbiliomycetes Venturiaceae
OTU_0204,CSP02,old,3,Fungi
OTU_0208,CSP02,old,4,Fungi;Ascomycota
OTU_0213,CSP02,old,16,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_0214,CSP02,old,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0215,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales Chalara
OTU_0217,CSP02,old,44,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0218,CSP02,old,46,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0223,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae
OTU_0226,CSP02,old,2,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae
OTU_0229,CSP02,old,3,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Ophiostomatales; Ophiostomataceae; Phialocephala
OTU_0233,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0234,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Dothideomycetes; Cenococcum
OTU_0235,CSP02,old,6,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales Trichosporon
OTU_0242,CSP02,old,6,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Tricholomataceae; Hemimycena
OTU_0251,CSP02,old,1,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Entolomataceae; Clitopilus
OTU_0254,CSP02,old,1,Fungi;Mucoromycotina; Mortierellales; Mortierellaceae; Mortierella
OTU_0255,CSP02,old,26,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Sebacinales; Sebacinaceae; Sebacina
OTU_0257,CSP02,old,10,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0258,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; Cladophialophora
OTU_0263,CSP02,old,4,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricales; Marasmiaceae; Marasmius
OTU_0265,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0266,CSP02,old,4,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales Chalara
OTU_0269,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Dothideomycetes; Capnodiales; Teratosphaeriaceae; Devriesia
OTU_0270,CSP02,old,2,Fungi;Ascomycota
OTU_0273,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Chaetosphaeriales; Chaetosphaeriaceae; Chaetosphaeria
OTU_0275,CSP02,old,2,Fungi
OTU_0278,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiales; Trichocomaceae; Penicillium
OTU_0287,CSP02,old,4,Fungi
OTU_0293,CSP02,old,2,Fungi;Ascomycota
OTU_0297,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Rhytismatales; Rhytismataceae; Phacidiopycnis
OTU_0304,CSP02,old,3,Fungi;Ascomycota
OTU_0307,CSP02,old,1,Fungi;Ascomycota
OTU_0309,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Helotiaceae; Rhizoscyphus
OTU_0322,CSP02,old,10,Fungi;Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales
OTU_0327,CSP02,old,1,Fungi
OTU_0332,CSP02,old,2,Fungi;Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreales; Cordycipitaceae; Beauveria
OTU_0333,CSP02,old,1,Fungi;Ascomycota; Pezizomycotina; Dothideomycetes; Capnodiales; Teratosphaeriaceae; Devriesia
OTU_0334,CSP02,old,2,Fungi
OTU_0336,CSP02,old,17,Fungi;Basidiomycota; Agaricomycotina; Agaricomycetes; Russulales; Russulaceae; Russula
OTU_0337,CSP02,old,1,Fungi;Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Sirobasidiaceae; Sirobasidium
