objectid,townname,plant,bryop,fern,tree,herp,mamml,fish,beark_f,beark_m,moosemor,shapestare,shapestlen
63,BURKE,6,1,0,22,2,24,3,8,8,19,87346801.053558349609375,40394.870637561369222
64,GRANBY,3,0,11,13,4,4,5,17,28,9,100536904.22706604003906,40083.835444903539610
65,GREENSBORO,6,1,9,14,9,5,6,8,11,2,101612660.22794342041015,40328.204025124636246
66,WESTFORD,1,0,4,20,8,7,14,1,3,-999999,100947344.22867584228515,40948.520812517839659
67,WOLCOTT,1,12,2,16,4,5,0,7,13,6,101706062.98831939697265,40366.286817563304794
68,UNDERHILL,70,31,45,19,21,14,12,16,8,5,132948036.87433624267578,50152.484438995139499
69,WHEELOCK,0,0,0,7,2,10,0,6,20,3,103706322.70677185058593,47693.841207874203974
70,COLCHESTER,240,46,43,0,11,7,26,-999999,-999999,8,151355358.36785125732421,68482.539406439405866
71,GUILDHALL,20,0,3,15,3,4,0,28,76,10,85411369.847496032714844,46439.923602372058667
72,VICTORY,7,0,6,12,12,13,8,21,19,14,111661241.88252258300781,43268.353416673642641
73,MORRISTOWN,17,4,2,16,11,13,0,8,19,2,132239305.27030181884765,59896.336111467455339
74,LYNDON,5,1,2,15,4,18,9,16,9,12,102834138.30661773681640,40484.640927148429910
75,HARDWICK,20,0,4,16,7,20,2,9,12,1,100227715.85628509521484,39989.132848322682548
76,STANNARD,0,0,0,0,3,3,0,3,8,4,32902910.441406250000000,26863.567224589070975
77,KIRBY,7,0,1,0,5,3,0,17,18,2,64117358.482437133789062,36031.059952390089165
78,ESSEX,48,4,8,0,13,9,23,-999999,-999999,4,103358927.66286468505859,49738.851259884700994
79,STOWE,95,213,29,17,18,16,9,26,32,8,188432503.31609344482421,62701.617100617906544
80,ELMORE,3,7,0,10,9,21,7,12,22,34,101783996.15824127197265,40406.546528031118214
81,JERICHO,11,21,15,20,20,6,20,3,3,2,91904107.342292785644531,41148.597980538012052
82,WALDEN,6,0,1,14,4,4,0,4,14,11,101028217.03641510009765,40230.884223674431269
83,BURLINGTON,385,92,56,0,14,14,16,-999999,-999999,1,40226130.269317626953125,37615.415576167346444
84,LUNENBURG,9,1,6,18,1,4,0,33,38,53,117850243.49581146240234,50770.552796593357925
85,SOUTH BURLINGTON,107,6,19,4,10,5,20,-999999,-999999,-999999,80166586.118980407714844,66358.605191029128036
86,DANVILLE,26,3,2,11,4,6,7,12,18,10,158074243.35877990722656,55795.971363191732962
87,ST. JOHNSBURY,18,0,28,0,8,4,0,2,1,10,95443483.070075988769531,40331.522064650169341
88,WINOOSKI,43,14,8,0,8,3,0,-999999,-999999,-999999,3790313.573677062988281,9178.962329492187564
89,CONCORD,21,0,1,13,9,5,0,31,23,36,138439624.14805603027343,53343.701980662030110
90,WOODBURY,7,1,10,9,16,7,0,16,16,9,100303674.04833984375000,40084.469078426394844
91,WILLISTON,45,4,8,11,15,4,14,-999999,-999999,3,79411510.279914855957031,45168.214779092282697
92,WORCESTER,2,0,14,17,1,4,4,4,17,7,101709699.48371887207031,40536.575622351701895
93,BOLTON,6,10,5,8,16,5,0,20,22,23,111243445.04661560058593,48105.365815503886552
94,CABOT,8,0,0,18,5,6,9,6,6,4,99771503.735687255859375,42071.801476266140526
95,WATERBURY,7,28,2,14,7,12,7,13,24,13,129125292.67630004882812,52525.741084135392157
96,SHELBURNE,69,46,18,0,21,9,12,1,0,-999999,112277221.60546875000000,45840.537713414691098
97,WATERFORD,7,0,1,15,8,5,0,26,17,7,103046179.87443542480468,43043.569673124533438
98,RICHMOND,28,8,20,0,13,11,12,7,3,7,83976197.014968872070312,39190.278669861450908
99,CALAIS,7,0,4,7,17,5,0,4,7,1,100040483.94535064697265,40058.455922486231430
100,ST. GEORGE,1,0,1,0,0,0,0,-999999,-999999,-999999,9375876.877792358398438,13407.214175691558921
101,BARNET,16,5,1,13,3,5,0,7,13,4,112688814.55310821533203,52481.174331726077071
102,MIDDLESEX,0,5,1,18,10,5,13,11,12,19,103317686.14559173583984,46847.660025491670240
103,PEACHAM,15,43,4,11,10,4,0,17,22,-999999,123555374.27499389648437,48072.900430252870137
104,MARSHFIELD,5,0,3,18,12,3,0,8,7,2,113289140.33892822265625,44299.479249870018975
105,HINESBURG,19,13,10,18,21,6,14,1,0,1,104139855.03121948242187,41562.150576217187336
106,HUNTINGTON,14,21,4,16,10,15,1,19,17,1,98005430.709777832031250,47953.860815035070118
107,DUXBURY,12,39,8,15,2,11,6,11,16,4,111357313.43695068359375,43455.918061846801720
108,CHARLOTTE,202,42,45,10,19,7,22,-999999,-999999,-999999,129596900.97624969482421,46738.099453565133444
109,EAST MONTPELIER,0,0,4,5,15,5,0,0,2,1,82810417.922119140625000,40276.881067658512620
110,MORETOWN,0,1,0,7,9,4,0,2,5,1,104146927.15176391601562,43840.102708748760051
111,MONTPELIER,8,0,3,0,11,6,0,1,1,7,26542575.943382263183594,27939.155936376846512
112,STARKSBORO,14,15,8,18,14,8,8,20,22,1,118838567.96595001220703,51507.579834327792923
113,GROTON,42,0,8,17,18,11,0,33,36,15,142240919.25278472900390,48581.194428784860065
114,PLAINFIELD,15,0,22,18,7,14,0,3,1,2,54851580.164642333984375,31040.563383541419171
115,MONKTON,62,42,27,18,23,4,11,2,1,-999999,94010598.209747314453125,40175.891869145612873
116,RYEGATE,5,0,2,13,12,15,0,9,11,4,95610814.449417114257812,44438.057266873052868
117,FAYSTON,0,0,2,11,3,3,0,17,10,1,94181750.303375244140625,41605.979820723237935
118,BERLIN,1,1,21,12,14,4,0,1,0,6,95772073.034797668457031,43494.249869796090934
119,FERRISBURG,52,10,12,4,24,11,35,1,1,3,158855768.82130432128906,60147.274460994281981
120,BARRE TOWN,9,0,7,11,6,8,0,0,1,1,79421785.383918762207031,52493.760054923484859
121,WAITSFIELD,1,0,0,6,3,2,0,1,3,-999999,69489761.863601684570312,36066.349733518123685
122,BUELLS GORE,0,1,1,6,9,4,0,1,2,1,12967348.655570983886719,18632.725502566176147
123,ORANGE,10,1,5,7,3,5,0,15,19,4,101070014.26148223876953,40611.943459342321148
124,BARRE CITY,0,0,0,0,0,1,14,-999999,-999999,1,10436336.600486755371094,17144.018496168915590
125,NORTHFIELD,2,6,3,19,20,4,10,0,2,3,113066988.96115875244140,46670.370921107598406
126,BRISTOL,101,7,31,17,24,6,2,10,5,3,107923912.94982910156250,52261.874626689139404
127,TOPSHAM,6,0,2,19,14,5,0,8,21,6,126929778.70269775390625,45753.818187705714081
128,NEWBURY,24,0,4,20,14,5,0,6,16,9,167006040.53498840332031,60497.947489194200898
129,VERGENNES,4,0,2,0,4,3,0,-999999,-999999,-999999,6543428.042648315429688,10258.579421572288993
130,NEW HAVEN,38,0,8,14,12,4,10,0,1,1,107813249.76500701904296,53003.792191398883006
131,PANTON,0,0,0,0,11,4,8,-999999,-999999,-999999,57066637.204986572265625,35697.262249046762008
132,WALTHAM,3,0,1,6,8,1,0,-999999,-999999,-999999,23705492.437202453613281,25992.756706303476676
133,WARREN,15,2,5,0,10,4,0,14,9,2,103978445.89748382568359,41834.607315450673923
134,LINCOLN,16,1,3,11,16,7,0,21,25,1,116316470.75868225097656,47372.767383212478308
135,WILLIAMSTOWN,8,6,11,14,8,11,5,0,1,4,104834673.76416778564453,41525.256159921307699
136,WASHINGTON,3,1,12,15,3,3,0,5,9,-999999,100486116.79431915283203,40334.127576158774900
137,ROXBURY,1,4,2,0,14,5,0,0,5,1,108143510.34896087646484,41925.272418597087380
138,ADDISON,36,21,2,0,19,13,21,1,1,1,126904297.69311523437500,48367.134258566278731
139,CORINTH,4,0,0,15,3,3,0,14,12,-999999,125893471.28015136718750,44953.404450874084432
140,WEYBRIDGE,35,0,2,0,19,1,11,-999999,-999999,-999999,45303025.578536987304688,30750.445291736399668
141,BROOKFIELD,12,3,9,4,16,9,0,0,3,8,107407863.61016845703125,43493.286801958289288
142,GRANVILLE,8,10,2,0,13,11,3,29,61,16,132027378.98960113525390,47010.075196517638688
143,CHELSEA,1,0,0,13,5,6,6,0,4,-999999,103365999.65755462646484,43789.184872328041820
144,BRADFORD,10,1,3,9,15,14,9,2,2,3,77394924.766555786132812,44579.440171719674254
145,MIDDLEBURY,208,6,43,7,22,12,6,3,3,3,101846008.02098083496093,41258.638548715505749
146,RIPTON,44,6,8,14,20,8,0,16,27,8,128759535.98105621337890,51349.690330076729879
147,BRIDPORT,1,0,0,6,25,3,13,-999999,-999999,-999999,120062189.54046630859375,44468.261714272157406
148,BRAINTREE,2,3,5,12,12,4,0,5,5,2,99481121.460983276367188,41088.133637028477096
149,CORNWALL,4,0,6,0,16,2,7,-999999,-999999,-999999,74197597.663276672363281,36891.359690366633004
150,VERSHIRE,0,1,2,17,7,3,5,3,3,3,94418355.145324707031250,39339.386671316889988
151,RANDOLPH,11,0,1,8,11,9,10,2,1,3,124641071.01735687255859,44818.728883666466572
152,WEST FAIRLEE,0,0,2,13,14,6,0,0,1,2,58331223.496749877929688,32700.021129532895429
153,HANCOCK,14,15,7,0,12,8,3,10,21,3,100675587.74929809570312,47274.330216248359648
154,FAIRLEE,27,0,21,14,7,5,0,1,8,3,55380172.797485351562500,34854.426096659743052
155,TUNBRIDGE,5,0,4,12,3,3,0,0,5,-999999,115769449.68064880371093,43273.351613889943110
156,SALISBURY,63,17,29,0,23,6,8,2,2,1,77832624.424060821533203,38361.392397076633642
157,ROCHESTER,54,84,18,14,8,3,0,22,50,10,147783028.07252502441406,81902.058068363970960
158,SHOREHAM,6,3,4,8,15,3,21,-999999,-999999,-999999,119475205.07005691528320,45387.040759605741187
159,STRAFFORD,20,1,8,5,19,4,6,0,5,2,115141131.52110290527343,43343.459498618212820
160,GOSHEN,34,57,6,11,13,5,0,7,11,3,53796546.143276214599609,37569.907183185765462
161,WHITING,0,0,0,0,10,2,0,-999999,-999999,-999999,35470126.426250457763672,27846.941650175685936
162,BETHEL,15,1,4,10,9,7,0,2,3,3,117771862.99913024902343,43428.253978450062277
163,LEICESTER,96,79,27,10,18,7,2,2,0,1,56239606.707954406738281,32851.094775850986480
164,THETFORD,6,0,4,16,18,8,4,1,0,6,114509815.77072906494140,44806.877460501455062
165,ROYALTON,29,0,11,0,13,10,0,0,1,5,105840911.35380554199218,41562.912173226293817
166,ORWELL,5,0,10,9,28,2,22,0,1,-999999,128702727.62613296508789,47205.643017319111095
167,CHITTENDEN,7,8,6,5,11,7,0,22,33,5,192337077.13766479492187,58135.729802335852582
168,BRANDON,168,199,49,15,22,5,10,10,7,1,104037191.47869491577148,41554.516728764698200
169,SUDBURY,14,0,1,10,23,4,0,-999999,-999999,-999999,57673181.314800262451172,34971.904380123298324
170,PITTSFIELD,3,7,0,14,8,2,0,9,11,-999999,52008877.397140502929688,37835.178997596049157
171,SHARON,44,0,13,17,11,5,0,0,6,6,103944145.79803085327148,42424.532196291525906
172,STOCKBRIDGE,6,0,0,13,9,5,0,18,31,2,119522202.89181518554687,47883.863604921389197
173,NORWICH,96,2,28,13,22,11,0,2,3,5,116178347.46125030517578,46089.581633119560138
174,BARNARD,15,2,13,16,8,16,0,1,6,-999999,126450211.10529327392578,44854.860060815110046
175,BENSON,5,0,4,16,25,3,0,-999999,-999999,-999999,117832899.98500823974609,45235.089949438952317
176,POMFRET,4,3,6,16,9,14,0,1,3,-999999,102170141.90060806274414,41136.213073989223631
177,PITTSFORD,13,4,15,8,14,7,0,3,3,1,112941094.98323822021484,52250.410570532556449
178,HUBBARDTON,7,4,5,14,22,3,13,-999999,-999999,1,74579003.499305725097656,34871.088014426080917
179,HARTFORD,32,4,9,6,6,8,6,0,2,9,118990558.44568252563476,45245.316957047136384
180,SHERBURNE,25,49,9,12,8,16,0,13,16,8,121548231.11823272705078,50318.257445047005604
181,MENDON,18,27,1,11,8,18,0,10,4,11,98404996.924373626708984,53401.021142482277355
182,BRIDGEWATER,11,8,27,16,1,12,0,20,29,2,128389015.31332015991210,45764.537760916064144
183,PROCTOR,11,8,28,0,4,1,0,-999999,-999999,-999999,19481426.782043457031250,33015.357344588366686
184,CASTLETON,32,5,7,22,21,18,12,-999999,-999999,2,109723911.33933258056640,42645.941859319500509
185,WEST HAVEN,30,1,6,12,27,7,16,-999999,-999999,-999999,73738726.690261840820312,47036.633593125930929
186,FAIR HAVEN,40,2,8,8,26,11,0,-999999,-999999,-999999,47191706.120807647705078,40209.835991519546951
187,RUTLAND TOWN,184,0,14,18,8,18,0,1,3,2,50781577.189502716064453,63033.627186903853726
188,WEST RUTLAND,56,1,10,0,16,5,0,0,1,1,46069357.232666015625000,33929.819305300516135
189,WOODSTOCK,58,16,32,7,20,10,10,1,3,1,115625465.57323074340820,43911.827566893509356
190,IRA,20,2,8,9,10,7,0,1,0,-999999,55175861.596252441406250,40942.975977365538711
191,RUTLAND CITY,0,51,4,0,6,0,15,-999999,-999999,-999999,19932361.005100250244141,21515.236124669729179
192,HARTLAND,91,12,44,17,19,7,0,0,1,1,117140944.97170639038085,47161.405016011420230
193,PLYMOUTH,35,1,11,6,10,7,0,12,14,1,126248122.98547363281250,46058.649494849989424
194,POULTNEY,15,1,4,14,23,3,0,-999999,-999999,-999999,116035231.82187652587890,46205.453399753350823
195,SHREWSBURY,9,2,3,5,10,10,0,14,28,2,130029505.10401153564453,48972.375988526699075
196,CLARENDON,23,5,4,11,14,10,9,0,3,2,81794958.297286987304688,38301.441846848189016
197,READING,5,0,2,15,9,4,0,4,10,3,107886178.49876403808593,42020.783675947619486
198,MIDDLETOWN SPRINGS,164,14,12,15,8,2,0,0,1,-999999,59166044.468101501464844,31282.215909842445399
199,WEST WINDSOR,0,0,0,8,13,4,0,1,0,-999999,64077735.742855072021484,32895.163995941482426
200,WINDSOR,30,0,6,5,10,17,9,-999999,-999999,5,51158933.714988708496094,30347.463250515222171
201,WALLINGFORD,58,11,21,13,16,16,0,0,14,-999999,111929025.51037216186523,45315.251500115038652
202,TINMOUTH,34,3,13,1,17,3,0,0,10,-999999,73495418.646701812744141,37271.408777186443331
203,MOUNT HOLLY,13,11,7,13,9,4,0,0,3,3,126674886.77339553833007,46537.056232760020066
204,LUDLOW,8,1,7,9,10,6,10,2,5,-999999,93866139.065654754638672,43357.966307343383960
205,WELLS,18,0,1,6,22,2,0,-999999,-999999,-999999,60417677.859848022460938,31607.991860299534892
206,CAVENDISH,13,2,28,8,14,4,0,5,4,3,102788384.98959732055664,40703.933279074364691
207,WEATHERSFIELD,6,0,3,11,20,6,0,0,2,3,114638748.26589965820312,45936.718265522540605
208,PAWLET,13,4,7,19,13,5,5,0,6,-999999,111032594.21359252929687,42210.941608784283744
209,DANBY,6,0,4,16,20,8,5,27,17,-999999,107828419.66424942016601,41267.422463397029787
210,MOUNT TABOR,18,0,18,15,13,16,0,0,2,1,113043532.34994888305664,46355.584679112740560
211,BALTIMORE,0,0,2,0,8,2,0,0,2,-999999,12116901.415164947509766,15802.878642231604317
212,WESTON,24,3,3,5,13,5,0,12,21,3,91595395.522018432617188,45106.423180156132730
213,ANDOVER,3,1,0,13,5,3,0,6,12,2,74605859.051147460937500,37344.113053505614516
214,CHESTER,3,0,2,15,7,14,0,10,5,2,144761278.58885574340820,48501.218530319951242
215,SPRINGFIELD,1,2,2,14,18,6,0,0,2,3,128209723.44087982177734,46372.667523852134764
216,RUPERT,5,1,1,15,16,3,5,3,3,-999999,116012155.70514678955078,42831.476065743852814
217,DORSET,126,9,51,16,18,10,0,11,13,-999999,124084515.75925445556640,48348.565417957870523
218,PERU,6,1,2,10,6,12,0,9,7,2,96666154.800491333007812,39322.214135700996849
219,LANDGROVE,0,0,0,9,2,5,0,-999999,-999999,2,23292771.782772064208984,28891.918743641221226
220,LONDONDERRY,4,1,1,14,16,10,0,3,4,2,92699282.455896377563477,42956.692007036464929
221,ROCKINGHAM,13,0,1,14,17,17,14,1,2,1,108949983.86386871337890,45830.228988753602607
222,GRAFTON,5,3,1,12,11,11,0,3,12,-999999,99639098.261928558349609,42969.485490406557801
223,WINDHAM,5,4,1,10,5,4,0,10,16,-999999,67842766.777566909790039,36025.173259894305374
224,SANDGATE,2,0,0,4,6,2,0,3,8,-999999,109065675.24030113220214,41946.352383577708679
225,MANCHESTER,111,33,32,11,18,16,5,6,7,1,109475627.67963790893554,41713.434266265016049
226,WINHALL,6,0,0,8,11,5,10,11,7,6,114398485.65500640869140,43132.751167113659903
227,JAMAICA,30,48,9,12,14,6,3,5,15,1,128096490.81629943847656,46041.819803204765776
228,ATHENS,1,0,0,6,12,3,0,2,2,-999999,36079500.115842819213867,29005.352873685376835
229,TOWNSHEND,94,3,5,11,18,4,0,4,8,-999999,110843556.62879562377929,45478.940919943670451
230,WESTMINSTER,30,0,8,16,18,4,0,0,1,1,116777173.31800651550293,45506.987402430604561
231,ARLINGTON,24,0,2,9,17,5,0,7,20,2,110029856.05300331115722,41911.324711743814987
232,SUNDERLAND,22,1,13,11,16,4,10,9,15,2,118234599.64269256591796,43597.521281607158016
233,STRATTON,73,39,14,10,12,4,5,25,25,1,121120167.88451957702636,48624.240842666171375
234,BROOKLINE,3,1,4,11,13,4,0,1,2,-999999,33552396.672840118408203,34528.242458331144007
235,WARDSBORO,8,4,3,12,12,3,0,16,14,1,75901453.910594940185547,35976.670322976504394
236,SHAFTSBURY,12,0,9,11,4,5,0,15,21,2,111439953.09900474548339,42189.064369357016403
237,GLASTENBURY,0,0,4,7,2,4,8,9,28,2,115077130.80130577087402,43049.344669644720852
238,PUTNEY,8,1,2,13,21,7,21,2,2,2,69688959.203569412231445,37030.361887961029424
239,SOMERSET,3,0,0,6,9,3,0,22,24,2,70812519.106687545776367,34330.438607969677832
240,NEWFANE,105,98,26,8,14,5,0,15,19,-999999,104365331.11365127563476,43240.109913807740668
241,DOVER,17,1,5,16,10,2,14,15,13,-999999,93528725.612714767456055,40419.714495249238098
242,DUMMERSTON,10,0,0,12,17,5,2,1,4,3,79760654.051858901977539,40230.269625224354968
243,BENNINGTON,24,3,11,14,12,6,10,9,9,2,110585564.11370277404785,42226.043776893595350
244,WOODFORD,16,4,0,10,9,8,1,25,27,-999999,123058624.74160861968994,44296.443547514652892
245,SEARSBURG,14,0,2,9,11,4,5,10,19,3,55337273.980102539062500,29887.055051324561646
246,WILMINGTON,27,3,5,8,9,18,0,15,16,-999999,109590424.17124748229980,41804.216655720905692
247,MARLBORO,15,0,12,11,17,3,0,13,15,-999999,105016144.64179420471191,41077.357874502689810
248,BRATTLEBORO,59,100,20,14,20,6,0,8,4,-999999,84322739.815101623535156,40207.479892790724989
249,READSBORO,1,0,0,13,7,7,2,30,47,1,94312252.505798339843750,40648.825515704986174
250,POWNAL,98,11,13,13,15,3,0,21,31,-999999,120849868.32073974609375,43899.555503471019620
251,STAMFORD,0,0,0,15,1,3,0,29,19,-999999,102542723.61625003814697,40477.311478588453610
252,WHITINGHAM,7,0,1,4,12,9,0,27,30,1,101489400.35249805450439,40295.450053084838146
253,HALIFAX,10,0,4,13,11,5,8,22,29,1,102792525.27320480346679,40597.031038778666698
254,GUILFORD,4,1,1,15,15,4,7,8,13,1,103561153.68850040435791,40614.707016707958246
255,VERNON,31,3,10,14,22,7,0,5,4,1,52006162.545696258544922,37151.591852372497669
