CSP,no,horizon_depth29,horizon_distinctness30,soil_horizon31,soil_col32,org_matter33,ped_soil_moist36,ped_con37,ped_other38,ped_soil_structure39,ped_soil_size40,ped_voids_porosity41,cutan_feat44,bio_root45,bio_bio_feat46,gen_sub47,hand_text48,rock_artefacts49,coarse_mat50,chargo51,parent_material53,artefact_type54,abundance_size55,stratigraphy56,samp_num_dist60,samp_num_undist61
CSP05,3,-32,t,II Ah+Al-Bv,10 YR 6/6,h1,25.86,ko4,"Hu, Vw",sub,g,"f2, gri2",,"Wf2, Wg1",,uhg,Ut4,fGr1,3,,Xhg,"Bvh, Bvz",,q,05-1-3,
CSP05,4,-52,e,III Bt,"7,5 YR 6/6",h0,27.36,ko4,,sub,g,"f3, gri2",,"Wf1, Wg1",,"uhg, cc",Ts2,mGr3,15,,"Xhg, Csa",,,qt,05-1-4,
CSP05,5,-90,,III ilCv1,"7,5 YR 6/6",h0,25.86,ko4,,sub,g,"f4, gri2",,"Wf0, Wg0",,"uhg, cc",Ts3,"mGr3, gX4",90,,Csa,,,qt,05-1-5,
CSP05,6,-145,,III ilCv2,"7,5 YR 6/6",h0,,ko1,,,,,,"Wf0, Wg0",,cc,Su2,,,,Csa,,,,,
CSP05,7,-180+,,III ilCv3,"7,5 YR 6/6",h0,,ko4,,,,,,"Wf0, Wg0",,cc,Tt,,,,Csa,,,,,
CSP05,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP06,1,-5,"e,de",Ah,10YR 5/2,h5,15.6,VFR,,kru,VF,gri3f3,,Wg1  Wf4,,uhg,Ut3,,0,,Lhg,,,q,06-1-1,
CSP06,2,-20,"e,de",II Bv+Ah,10YR 5/6,h4,22.1,FR,Vw,sub,FI,gri3f2,,Wg3  Wf4,,uhg,Ut4,fX2,10,10,Lhg,,,q,06-1-2,LD06-1-1
CSP06,3,-30,"e,de",II Bv,10YR 6/8,h2,20.7,FI,Vw,sub-pol,FI,gri2f3,"V,C,VO",Wf2   Wg3,,uhg,Ut4,mGr2         fGr3,10,,Lhg,,,q,06-1-3,LD06-1-2
CSP06,4,-40,"e,de",III BvCv,10YR 7/8,h2,20,FI,Vw,sub,FI,gri2f4,,Wf1  Wg2,,uhg,Slu,fGr3,25,,Lhg,,,"q,t",06-1-4,LD06-1-3
CSP06,5,-100,"k,de",III ilCj,"2,5 Y8/2",h0,17,FR,,,,,,Wf0   Wg0,,uhg,,,,,Xhg,,,"q,t",06-1-5,LD06-1-4
CSP06,6,-120+,,IV imCj,,,,,,,,,,Wf0   Wg0,,,,,,,,,,,,
CSP06,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP06,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP07,1,-14,"de,w,h",Ah,10YR 3/3,h5,20,FRF,Vw,kru,VF,gri3f3,,Wf3  Wg2,,uhg,Uls,"fGr, mGr2",5,,Lhg,,,q,07-1-1,LD07-1-1
