CSP,no,horizon_depth29,horizon_distinctness30,soil_horizon31,soil_col32,org_matter33,ped_soil_moist36,ped_con37,ped_other38,ped_soil_structure39,ped_soil_size40,ped_voids_porosity41,cutan_feat44,bio_root45,bio_bio_feat46,gen_sub47,hand_text48,rock_artefacts49,coarse_mat50,chargo51,parent_material53,artefact_type54,abundance_size55,stratigraphy56,samp_num_dist60,samp_num_undist61
CSP21,3,-38,,II Bv,10YR,h2,11.2,LO,"Hu, Vw",sub,,,"F,C,VO,CF",Wf5    Wg4,,uhg,Sl3,"mGr3, mX4",20,,Xhg,,,q,21-1-3,LD21-1-2
CSP21,4,-60,,III Bv-mCv,"7,5YR 5/8",h1,,LO,Vw,sub,,fri2f4     gri3f3,,Wf2     Wg3,,uhg,Sl3,gX5,85,,Xhg,,,,,
CSP21,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP21,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP21,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP21,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP22,1,-6,"e,de,h",Ah,10YR 3/4,h6,19.7,FR,Vw,kru-sub,FI,gri3f2   gri2f2,,Wf4   Wg2,,uhg,Ut2,,0,4,Lhg,,,q,22-1-1a,LD22-1-1a
CSP22,2,-13,"e,de,h",Bv-Ah,,h5,19.7,FR,Vw,sub,ME,gri3f2   gri2f2,,Wf4   Wg2,,uhg,Ut2,,0,9,Lhg,,,q,22-1-1b,LD22-1-1b
CSP22,3,-22,"e,de,h",Bv,10YR 4/6,h4,25.23,FI,Vw,sub,ME,gri2f2   gri3f2,"V,C / CF,NS",Wf2    Wg1,,uhg,Ut2,,0,18,Lhg,,,q,22-1-2,LD22-1-2
CSP22,4,-51,"e,di,g",II B(t)v,"7,5YR 5/6",h3,24.6,FI,Vw,sub-pol,ME,gri3f2   gri2f2,"V,C / CF,NS",Wf3    Wg2,,uhg,Ut4,gGr2,10,,Lhg,,,q,22-1-3,LD22-1-3
CSP22,5,-77,"w,de,h",III Bv,"7,5YR 5/8",h2,20.4,FI,Vw,sub,ME,gri3f1    gri2f1,,Wf2    Wg2,,uhg,Ut4,mGr4          fX4,40,,Xhg,,,"q,t",22-1-4,LD22-1-4
CSP22,6,-182,,IV Bv-ilCv,"7,5 YR5/8 + 7,5YR 6/6",h1,20.1,FR,,sub,ME,,,Wf0   Wg0,,uhg,Sl3,mX5,75,,Xhg,,,"q,t",22-1-5,
CSP22,7,-197+,,V ilCv,"5YR 5/8 +7,5YR 4/6",h0,,,,,,,,Wf0    Wg0,,uhg,,,95,,Xhg,,,"q,t",,
CSP22,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP23,1,-12,"e,de",Ah,"7,5YR 4/2",h5,8.4,SHA,,kru,ME,gri2f4   gri3f2  gri4f2,,Wf5   Wg4,"F,C",uhg,Sl3,,0,,Shg,,,q,23-1-1,LD23-1-1
CSP23,2,-46,"e,di",II Bv-Ah,"7,5YR 4/6",h4,11,SHH,,sub,ME,gri2f2  gri3f2    gri4f2,,Wf3  Wg1,,uhg,Sl2,mX4,40,,Shg,,,q,23-1-2,
CSP23,3,-48,"w,sc",II Ah-Bv,5YR 4/6,h3,11.5,SHH,,sub,ME,gri2f3    gri3f2,"V,CH,VO",Wf2   Wg1,,uhg,Su2,mX5,65,,Shg,,,q,23-1-3,
CSP23,4,-90+,,III mCv,10YR 7/8,h0,,,,,,,,Wf0    Wg0,,uhg,,gX6?,95,,Shg,,,q,,
CSP23,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP23,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP23,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP23,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP24,1,-10,"e,de",Ah,10YR 4/3,h5,7.5,,,kru,,gri4f4,,Wf6,,uhg,Uts,fX              fGr1,10,,Xhg,,,q,24-1-1,LD24-1-1
CSP24,2,-30,"e,di, g",II Ah+Bv,10YR 3/3,h4,9.4,,,sub,,gri3f4   gri4f2,,Wf2   Wg2,,uhg,Uts,fX              fGr1,30,,Xhg,,,q,24-1-2,LD24-1-2
CSP24,3,-47,"e,di",II Bv,10YR 5/6,h2,10.4,,,sub,,fri2f3   gri4f2,,Wf3    Wg1,,uhg,Su3,fX              fGr1,40,,Xhg,,,q,24-1-3,LD24-1-3
CSP24,4,-80,,III Cv,"7,5YR 5/6",h0,11.3,,,sub,,gri3f3,,Wf0    Wg0,,uhg,Su2,fX,70,,Xhg,,,q,,
CSP24,5,-85+,,IV mCv,,h0,,,,,,,,Wf0    Wg0,,uhg,,fX,100,,Xhg,,,"q,t",,
CSP24,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP24,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP24,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP25,1,-6,w,Ah,10 YR 3/2,h4,18.6,ko2,Vw,kru-sub,o,"gri2, f2",,"Wf4, Wg2",R,uhg,Slu,fGr1,2,,Lhg,,,q,25-1-1,
CSP25,2,-15,e,Bv-Ah,10 YR 5/4,h2,27,ko3,Vw,sub(-kru),o,"gri3, f3",,"Wf3, Wg3",R,uhg,Lt3,fGr1,2,,Lhg,Bvh,,q,25-1-2,
CSP25,3,-32,,Ah-Bv,10 YR 5/4,h1,27,ko3,Vw,sub(-koh),o,"gri2, f2 + gri3, f3",,"Wf3, Wg2",R,uhg,,,2,,Lhg,Bvh,,q,25-1-3,
CSP25,4,-65,e,II Bv-Cv,"7,5 YR 6/6",h0,22.7,ko4,Vw,sub,h,"gri2, f2 + gri3, f4 + gri4, f2",,"Wf2, Wg1",,uhg,Lts,"gGr3, fX3",20,,Lhg,Bvh,,q,25-1-4,
CSP25,5,-79,e,III ilCv1,"7,5 YR 6/8",h0,27.4,ko4,Vw,sub(-ei),g,"gri2, f3",,"Wf0, Wg0",,uhg+cc,Lts,"fGr2, fX1",70,,Csa+Xhg,,,q,25-1-5,
CSP25,6,-130,,III ilCv2,5 YR 5/6,h0,21.5,ko4,Vw,sub,g,"gri2, f2",,"Wf0, Wg0",,cc,Sl3,"fGr2, fX1",> 90,,Csa,,,q,25-1-6,
CSP25,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP25,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP26,1,-4,"w,h,de",Ah,"7,5YR 3/3",h4,,,,kru,,,,,,uhg,Ls4,,0,,Lhg,,,q,26-1-1,
CSP26,2,-15,"t,h,de",Bv+Ah-Al,"7,5YR 5/6 + 7,5YR 3/3",h2,15.2,,Hu,kru-sub,,gri2f4    gri3f3,,Wf3   Wg2,,uhg,Lts+Ls4,,0,,Lhg,,,q,26-1-2,LD26-1-1
CSP26,3,-34,"u,h,de",II Bv-ilCv(Bt),"7,5YR 5/6",h1,20,,Hu,sub,,gri3f3    gri2f2,,Wf2   Wg2,,uhg,Ts3,,0,50,Lhg,,,q,26-1-3,LD26-1-2
CSP26,4,-80+,,III ilCv,"7,5YR 5/8",h0,24.7,,,sub,,gri4f2,,Wf0   Wg0,,uhg,Lts,,0,,Lhg,,,q,26-1-4,LD26-1-3
CSP26,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP26,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP26,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP26,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP27,1,-10,"w,de",Ah,10YR 5/6,h5,6.8,SO,Vw,ei-kru,VF,gri3f4   gri4f4,,Wf5  Wg3,,uhg,Us,mGr4    gGr4,10,,Lhg,,,,,
CSP27,2,-27,"w,de",II Bv-Ah,10YR 5/6,h4,6.8,SO,Vw,ei-kru,VF,gri3f4   gri4f4,,Wf5  Wg3,,uhg,Us,mGr4    gGr4,40,,Xhg,,,,27-1-1,
CSP27,3,-80+,,III Bv+xCv,10YR 5/6,h2,5.2,SO,Vw,ei-sub,VF,gri3f4   gri4f4,,Wf4   Wg2,,uhg,,gX6,95,,Xhg,,,,27-1-2,
CSP27,4,,,,,,,,,,,,,,,,,,,,,,,,,
CSP27,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP27,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP27,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP27,8,,,,,,,,,,,,,,,,,,,,,,,,,
