,keywords,labels,X0,X1
0,amphibian,1,1.0913026909071508,-0.4001136480505965
1,bioenergy,3,1.075507454164902,-0.6308976660954536
2,biologist,3,1.1336997950512904,-0.5002434889818805
3,biomass,3,1.2509575737033558,-0.6075056847021829
4,biome,3,1.3659103884628963,-0.599532573292617
5,biota,0,1.8702080447037772,-0.19685022323930093
6,botanical,1,1.1274267671031488,-0.41640008644462695
7,caterpillar,1,1.0225290249731283,-0.17654377819994194
8,climatic,1,0.9713538517370945,-0.3300001564607829
9,coral,3,1.5020259987939497,-0.7717997186909855
10,decidious species,0,1.8773915039039817,-0.5320670959347141
11,decomposers,1,1.0848509070125385,-0.028977747311471572
12,earthworm,2,1.3740688923247346,-0.3316635227475854
13,ecosystem,3,1.111688157669823,-0.6623644515254621
14,fern,3,1.2222065130317596,-0.7005548734984731
15,foraging,3,1.0680498744187064,-0.5017023546170624
16,fossil,2,1.5343546831021295,-0.2790511158521739
17,geological,1,1.0391778557689038,-0.30124938246676414
18,insect,2,1.4722409349385062,-0.359516624126383
19,mammal,2,1.3835376337749064,-0.3564309452845889
20,mammal specy,2,1.3835376337749064,-0.3564309452845889
21,methane,2,1.3904528619219956,-0.22671461132907472
22,microclimate,3,1.4032793178390963,-0.6909332239957829
23,moisture,2,1.3175838419794978,-0.30725879142800855
24,moisture ,2,1.3175838419794978,-0.30725879142800855
25,nitrogen,2,1.5099550750256054,-0.17515117017788082
26,oceanic,1,1.0826905087226473,-0.06571658270258346
27,oceanic bathypelagic specy,1,1.0826905087226473,-0.06571658270258346
28,pollination,0,1.7244235593704902,-0.5703702766937735
29,pollinator,2,1.636178910708622,-0.3107096124238179
30,predation,1,1.201518390321876,-0.28263485215501605
31,saline,1,0.9331269975410997,-0.0568263273487446
32,salinity,0,1.855394204423918,-0.7580756003951333
33,seafloor,2,1.3231637514810344,-0.17923586114367593
34,sediment,0,1.627170634946541,-0.46588217759882083
35,species,0,1.8773915039039817,-0.5320670959347141
36,species fullname,0,1.8773915039039817,-0.5320670959347141
37,subtropical,3,1.1745690258684027,-0.5758751811792564
38,subtropics,1,1.0859723460850768,-0.28573760653698055
39,woody,1,1.121059570790606,-0.4012445855726079
