,keywords,labels,X0,X1
0,Leaf toughnes,3,0.5518625460907751,-0.35070921416132766
1,alpine,1,0.39151435320808686,-0.4424310141852757
2,animal,3,0.5733411408256718,-0.42465257965829384
3,animal specy,3,0.5733411408256718,-0.42465257965829384
4,ant,3,0.7561233352656369,-0.21573867301766056
5,bee,1,0.46632727012422587,-0.3982479015892063
6,biofuel,2,0.8288255766078666,-0.63951350739673
7,bird,2,0.651272410413591,-0.7989013878334874
8,bird specy,2,0.651272410413591,-0.7989013878334874
9,breeding,2,0.7134021834318658,-0.6401683314873201
10,butterfly,3,0.574717068106091,-0.47110324396475334
11,canopy,1,0.49322149480503197,-0.6749871538229414
12,carbon,3,0.7165951739614459,-0.23227251080671388
13,charcoal,1,0.34480806169020234,-0.6144031604884195
14,clay,1,0.41583486578934975,-0.4165265904172633
15,climate,1,0.35979151968862383,-0.5654581322378986
16,colonies,3,0.7672478736605871,-0.29103615039591657
17,colonizing,3,0.6562781023629111,-0.27251384972681836
18,colony,1,0.49436632701069333,-0.4322669993747194
19,deepwater,3,0.6253279776343554,-0.5241856970318569
20,ecologic,3,0.7499919393076794,-0.21617283367851206
21,erosion,1,0.3303383237525465,-0.565744046829771
22,ethanol,3,0.6650588548362742,-0.45122115465163815
23,evaporation,0,0.8903631165647533,-0.3076543616123791
24,extinction,3,0.6868647059526879,-0.4834659162944777
25,fertile,1,0.3906670131253529,-0.5295574042186706
26,fish,2,0.7357696216720048,-0.7523098755460764
27,fish specy,2,0.7357696216720048,-0.7523098755460764
28,foraged,3,0.5771002649387899,-0.4269882025422985
29,fruit,1,0.4207711689762166,-0.5436628171066286
30,geology,0,0.9310565186413271,-0.40743878392977034
31,grain,1,0.2960913634488823,-0.5391021375765275
32,greya moth,0,0.945484355476222,-0.5262055528328642
33,herb,3,0.7636059356447681,-0.3333364571349845
34,honey,1,0.41396352608722975,-0.47373303428037833
35,humidity,3,0.6008828456919489,-0.37893593666125336
36,leaf,3,0.5518625460907751,-0.35070921416132766
37,leafflower moth,0,0.945484355476222,-0.5262055528328642
38,maize,2,0.8258934982540416,-0.6877795988122154
39,mineral,3,0.6394042936494204,-0.291308842795557
40,mitigation,1,0.3511921318373257,-0.4883988145587747
41,mosquito,0,0.9860711639723811,-0.6265489128445362
42,ocean,2,0.7112204710078472,-0.7260176853253301
43,ornamental,2,0.6360004406198798,-0.6482559411833249
44,plant,1,0.36866354322884903,-0.5629857873833214
45,plant specy,1,0.36866354322884903,-0.5629857873833214
46,predator,3,0.6246162865179177,-0.3717909877392175
47,preservation,1,0.35892069764322276,-0.569405108586352
48,renewable,1,0.4961446847834822,-0.5026505464590595
49,reptile,2,0.6900539634295497,-0.7482332807394565
50,reservoir,2,0.6680023655098799,-0.5571401606780936
51,saltwater,2,0.7534340190408524,-0.6624792923198216
52,seed,1,0.3304734631184572,-0.4846726568765709
53,slope,1,0.3522725012402357,-0.46612747011107436
54,soil,2,0.7488921812045248,-0.6217770615483775
55,specie,0,0.9394608730381663,-0.3251082452130276
56,temperate,2,0.7072313000755677,-0.5812637309496093
57,topography,0,0.9367117142625234,-0.44809509859996416
58,tropical,2,0.8625935579722158,-0.7253376490558314
59,vegetable,1,0.38229037267527705,-0.5975340402881665
60,wood,1,0.3426617662857596,-0.6121157400394858
