,keywords,labels,X0,X1
0,Marine,0,0.6472164494292793,-0.8531615588169656
1,aegean sea,1,0.3743800742554803,-0.7078320262261354
2,agricultural,0,0.5717289366985383,-1.075215770366553
3,agriculture,0,0.5741538009689862,-0.9624700921541572
4,aquarium,1,0.36569987781769625,-0.8480611868174558
5,beach,2,-0.01308864057069458,-0.8236764143499811
6,coal,1,0.3030178769896817,-0.7570169368812044
7,coastal,0,0.3064456011641094,-1.1105711078388925
8,conservation,3,0.6439847988406545,-1.3271235522127829
9,cotton,1,0.358680442268401,-0.7681794250545354
10,crop,0,0.42597799490950333,-0.8592512912014204
11,drought,3,0.5137422699725761,-1.2713776637676257
12,dry,1,0.14683753627421073,-0.6311666042869678
13,endangered specy,1,0.34905387800218257,-0.7791082496651891
14,environmental,1,0.34689675118631524,-0.7607651452175158
15,farm,2,0.08704240677301807,-0.9874854558285835
16,farming,0,0.5123424718205071,-1.1411756504302835
17,farmland,3,0.47301170641855356,-1.5389015372772177
18,fertilizer,0,0.594009812197652,-0.9398000726684438
19,flower,1,0.39746515432841584,-0.7994355099408557
20,forestry,3,0.42819461635914857,-1.387677804082463
21,garden,0,0.3975120134426623,-1.0087757598908178
22,grass,0,0.5308968139141595,-1.0031384772033343
23,gravel,1,0.27812362844342087,-0.8468140316946323
24,humid,1,0.36584491561160415,-0.7297649652315445
25,irrigation,3,0.6403496036847766,-1.321498855326674
26,land,2,0.014470498151529631,-1.0073093743557489
27,landscape,1,0.1834302608568017,-0.6126677492944445
28,marine,0,0.6472164494292793,-0.8531615588169656
29,meadow,0,0.6411001349552164,-0.8570078590945573
30,mining,1,0.08806840672516798,-0.712682661199081
31,plantation,0,0.4076553693016075,-1.0293492593584748
32,planted,1,0.1595801856113155,-0.7371745175533487
33,planted_specy,1,0.1595801856113155,-0.7371745175533487
34,planting,0,0.3467503883288603,-1.0236684857915135
35,pollution,0,0.6272537772202653,-0.8753490825804423
36,rain,2,0.20886396200275606,-1.131072037434256
37,rainy,2,-0.1716170956205787,-1.1745163171720248
38,rice,1,0.47812761921500646,-0.7293028567196047
39,river,0,0.4455134610894141,-1.0091847334048314
40,sand,1,0.16385787965471402,-0.6771843368118222
41,sea,1,0.3743800742554803,-0.7078320262261354
42,sewage,0,0.4598466149359913,-0.8172816511448785
43,shoreline,0,0.6148216674577558,-1.0778164154452308
44,snow,2,0.08137138875342849,-0.894970804625644
45,tree,0,0.5360571127452476,-0.9139130545275121
46,tree specy,0,0.5360571127452476,-0.9139130545275121
47,underwater,1,0.2553856976962692,-0.6566049839410145
48,water,0,0.36314922785727577,-0.9223236620802892
49,weather,2,0.040222275265537566,-0.8760163595338967
