,keywords,labels,X0,X1
0,absent,1,-0.46393157268380036,0.17049033522502832
1,age,2,-0.3082953982493586,0.25231688680388453
2,al,0,-0.331254212258262,0.17351739116241585
3,anticipate,1,-0.39707885477698524,0.06846212982909533
4,basis,0,-0.367736070420346,0.18073762075604255
5,bent,3,-0.3031707480300709,0.03979906521087961
6,broad,0,-0.3107357995594266,0.15295465166923483
7,capacity,3,-0.25099155676291746,0.06958420032604908
8,cl,2,-0.32949422488108643,0.4701674679342092
9,count,0,-0.3787388189369985,0.14543175291845445
10,current,1,-0.4530884932672175,0.04437142378335133
11,date,1,-0.48521701106833715,0.11657997818010496
12,eol,2,-0.3202682478301762,0.23367354375315183
13,exposed,2,-0.25648220779031217,0.25019264860550516
14,fe,2,-0.27734262981416324,0.2609971372820083
15,female,0,-0.2711623590416597,0.15074162591490278
16,individual,2,-0.27013459384516597,0.29089894520807263
17,intense,1,-0.43311757600635425,0.004470980272496703
18,large,3,-0.26740142841077835,0.041683259817383904
19,light,3,-0.31594107916966857,-0.015608639907625227
20,mas,0,-0.3988781242605345,0.19448611915873987
21,measure,0,-0.29017802504554385,0.17282879147942218
22,o2,0,-0.386146327501323,0.22719049027326507
23,ph,2,-0.29591495221755043,0.23542640131991105
24,presence,0,-0.31836196773577663,0.15857133654810762
25,publication,0,-0.38302529267790514,0.18620034158935422
26,range,0,-0.3480329371919239,0.09592908333175047
27,se,0,-0.44298657222522975,0.22710228454403958
28,secondary,0,-0.3765522873388157,0.1103396613312284
29,speed,0,-0.36649323044741566,0.16658812257326516
30,strength,2,-0.4304427909974862,0.3138453577382592
31,structured,2,-0.29370749688021924,0.2637739086506446
32,system,0,-0.3325897249841517,0.16155030922994557
33,tag,2,-0.3793454402989919,0.2713146594935829
