,keywords,labels,X0,X1
0,Family,1,-0.41136658864852066,-0.12309664641476302
1,alive,1,-0.4342515017053264,-0.17088031554249145
2,bank,2,-0.31064708918137535,-0.38575553549547587
3,base,1,-0.45871896486121616,-0.14160369914740106
4,city,2,-0.3981185757358637,-0.4561762791061347
5,community,3,-0.36397143444945834,-0.2545014983110771
6,construction,2,-0.25735373633953323,-0.49474597503692014
7,country,1,-0.4591985592100843,-0.16269225004204507
8,damaged,0,-0.2524376825598931,-0.15698548628511447
9,distance,0,-0.3105437887384011,-0.07554952013980887
10,erode,3,-0.39107075118308804,-0.23440997764852728
11,families,3,-0.4015856293344389,-0.213462798917952
12,family,1,-0.41136658864852066,-0.12309664641476346
13,field,0,-0.2520067891106467,-0.1494459190062357
14,fire,2,-0.3509208225467631,-0.567949527575101
15,growing,0,-0.3013800097576745,-0.15104190213512586
16,grown,0,-0.2624912134495838,-0.15685832050212495
17,heavy,1,-0.5730336810698586,-0.1277724064678025
18,live,3,-0.397624740180486,-0.23153597381454788
19,long,1,-0.45022078530562754,-0.08127831768332862
20,old,1,-0.5848761908353334,-0.18459024358132947
21,open,1,-0.5821441766606841,-0.18269454009435582
22,place,1,-0.5300588235028323,-0.20515982461521776
23,plain,1,-0.4175624384663352,-0.09942899197442367
24,season,0,-0.3299912685847007,-0.1302200765590902
25,shore,2,-0.31311803661919346,-0.5936598720221172
26,short,1,-0.44747723114551535,-0.06762600048786027
27,site,0,-0.29309305997883045,-0.21625222772892164
28,small,0,-0.3268690041021925,-0.032294232089862755
29,space,0,-0.29891316152990904,-0.253453623503409
30,splash,3,-0.49425169709237177,-0.23609632198344857
31,summer,3,-0.4455200260801846,-0.31546390453903267
32,young,1,-0.5432832442450353,-0.09216773677519462
