species,spec_fam,family,fix_int,rand_family,rand_spec_in_fam,rand_spec_stem_break,mixed_m_res
Meliosma oldhamii,Meliosma oldhamii:Sabiaceae,Sabiaceae,-786.9786256,-200.5966757,-108.9443843,-1096.519686,-71.14057093
Myrica rubra,Myrica rubra:Myricaceae,Myricaceae,-786.9786256,-181.2688013,-228.8064034,-1197.05383,-27.57474289
Neolitsea aurata,Neolitsea aurata:Lauraceae,Lauraceae,-786.9786256,63.12557198,85.55487982,-638.2981738,279.9947274
Osmanthus cooperi,Osmanthus cooperi:Oleaceae,Oleaceae,-786.9786256,-178.03234,-10.84664744,-975.8576131,-70.84820411
Photinia beauverdiana,Photinia beauverdiana:Rosaceae,Rosaceae,-786.9786256,-39.1387485,-159.708191,-985.8255651,-522.7471645
Photinia glabra,Photinia glabra:Rosaceae,Rosaceae,-786.9786256,-39.1387485,66.31094719,-759.8064269,217.095311
Photinia parvifolia,Photinia parvifolia:Rosaceae,Rosaceae,-786.9786256,-39.1387485,106.2957885,-719.8215856,695.9247771
Pinus,Pinus:Pinaceae,Pinaceae,-786.9786256,164.2569658,535.2467984,-87.47486141,233.4582579
Pinus massoniana,Pinus massoniana:Pinaceae,Pinaceae,-786.9786256,164.2569658,-212.6000967,-835.3217565,-4.471751347
Pinus taiwanensis,Pinus taiwanensis:Pinaceae,Pinaceae,-786.9786256,164.2569658,-115.3134746,-738.0351345,-12.73137675
Platycarya strobilacea,Platycarya strobilacea:Juglandaceae,Juglandaceae,-786.9786256,99.84299229,126.0267393,-561.1088941,39.19793856
Prunus schneideriana,Prunus schneideriana:Rosaceae,Rosaceae,-786.9786256,-39.1387485,8.411056936,-817.7063172,13.80178864
Quercus fabri,Quercus fabri:Fagaceae,Fagaceae,-786.9786256,-77.10777478,100.711451,-763.3749494,329.7351239
Quercus phillyreoides,Quercus phillyreoides:Fagaceae,Fagaceae,-786.9786256,-77.10777478,76.34739912,-787.7390013,50.05261557
Quercus serrata,Quercus serrata:Fagaceae,Fagaceae,-786.9786256,-77.10777478,-29.96518167,-894.0515821,-1.450647573
Rhododendron latoucheae,Rhododendron latoucheae:Ericaceae,Ericaceae,-786.9786256,322.4386838,7.447537981,-457.0924038,1.18443578
Rhododendron ovatum,Rhododendron ovatum:Ericaceae,Ericaceae,-786.9786256,322.4386838,22.03606563,-442.5038762,4.215202982
Rhus chinensis,Rhus chinensis:Anacardiaceae,Anacardiaceae,-786.9786256,127.7812639,153.2683118,-505.9290499,1003.289224
Rhus hypoleuca,Rhus hypoleuca:Anacardiaceae,Anacardiaceae,-786.9786256,127.7812639,365.1475664,-294.0497953,199.0938987
Sassafras tzumu,Sassafras tzumu:Lauraceae,Lauraceae,-786.9786256,63.12557198,41.47675342,-682.3763002,271.4794917
Schima superba,Schima superba:Theaceae,Theaceae,-786.9786256,238.1868661,-361.5601202,-910.3518798,-6.545445017
Sorbus dunnii,Sorbus dunnii:Rosaceae,Rosaceae,-786.9786256,-39.1387485,-85.85759958,-911.9749737,-562.0504496
Sorbus folgneri,Sorbus folgneri:Rosaceae,Rosaceae,-786.9786256,-39.1387485,119.3674842,-706.7498899,195.4020692
Styrax dasyanthus,Styrax dasyanthus:Styracaeae,Styracaeae,-786.9786256,-103.367196,-124.1060764,-1014.451898,-812.3943029
Styrax odoratissimus,Styrax odoratissimus:Styracaeae,Styracaeae,-786.9786256,-103.367196,190.1201772,-700.2256444,207.5380046
Styrax suberifolius,Styrax suberifolius:Styracaeae,Styracaeae,-786.9786256,-103.367196,17.59547471,-872.7503469,115.2866645
Symplocos anomala,Symplocos anomala:Symplocaceae,Symplocaceae,-786.9786256,264.1576917,76.92524778,-445.8956861,83.69464991
Symplocos paniculata,Symplocos paniculata:Symplocaceae,Symplocaceae,-786.9786256,264.1576917,-3.72066228,-526.5415962,-24.5982293
Symplocos setchuensis,Symplocos setchuensis:Symplocaceae,Symplocaceae,-786.9786256,264.1576917,57.43943136,-465.3815025,375.8000329
Symplocos stellaris,Symplocos stellaris:Symplocaceae,Symplocaceae,-786.9786256,264.1576917,143.1334716,-379.6874623,116.8918398
Symplocos sumuntia,Symplocos sumuntia:Symplocaceae,Symplocaceae,-786.9786256,264.1576917,59.65535227,-463.1655816,48.57831225
Syzygium buxifolium,Syzygium buxifolium:Myrtaceae,Myrtaceae,-786.9786256,122.0830152,154.0991909,-510.7964195,62.9418508
Ternstroemia gymnanthera,Ternstroemia gymnanthera:Theaceae,Theaceae,-786.9786256,238.1868661,-145.7802118,-694.5719714,-119.5143303
Toxicodendron succedaneum,Toxicodendron succedaneum:Anacardiaceae,Anacardiaceae,-786.9786256,127.7812639,-357.1240773,-1016.321439,-111.4491255
Vaccinium bracteatum,Vaccinium bracteatum:Ericaceae,Ericaceae,-786.9786256,322.4386838,127.5306767,-337.0092651,138.8583119
Vaccinium carlesii,Vaccinium carlesii:Ericaceae,Ericaceae,-786.9786256,322.4386838,161.9091436,-302.6307982,88.03816005
Vaccinium mandarinorum,Vaccinium mandarinorum:Ericaceae,Ericaceae,-786.9786256,322.4386838,100.1699536,-364.3699882,163.6532152
