campaign,event_no,CSP,age_class_3,age_class_5,rarefy_100,shannon,simpson,LAI,event_start,event_end,event_mm_bo,event_mm_va,event_mm_tb,position_scb,thoughfall_mm,loss_sand_g ,loss_sand_g_m2,KE_area
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,1,33.2129963898917,3.1200000000000045,18.773658871787372,273.1567365845063
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,2,35.37906137184115,1.3199999999999932,7.9427018303715275,115.56631163190573
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,3,21.660649819494584,5.489999999999995,33.034418976318086,480.6507961054282
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,4,14.440433212996389,7.1699999999999875,43.14331221497276,627.7351927278537
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,5,27.436823104693143,8.810000000000002,53.011517519373896,771.3175799068903
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,6,23.826714801444044,2.549999999999997,15.343855808672332,223.25310201618245
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,7,17.328519855595665,4.769999999999996,28.70203615975178,417.61462612438845
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,8,24.548736462093864,6.670000000000002,40.1347130368018,583.9600746854662
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,9,19.494584837545126,2.490000000000009,14.982823907291879,218.00008785109685
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,10,7.2202166064981945,2.740000000000009,16.4871234963774,239.88764687229119
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,11,11.552346570397113,2.6799999999999926,16.126091594996776,234.6346327072031
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,12,15.884476534296029,2.1799999999999926,13.117492416825726,190.85951466481433
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,13,32.49097472924188,3.3799999999999955,20.33813044443626,295.9197979665476
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,14,36.101083032490976,12.539999999999992,75.45566738852986,1097.8799605031095
3,13,CSP02,5,5,35.13995105,3.40945747259928,0.945090304709141,2.06,2010-06-19,2010-06-22,27.48,11.61,22.3,15,15.884476534296029,6.409999999999997,38.57024146415283,561.1970133034237
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,1,23.104693140794225,7.060000000000002,42.481420395775224,618.1046667585296
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,2,21.660649819494584,6.250000000000014,37.607489727138194,547.1889755298607
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,3,16.60649819494585,2.450000000000017,14.742135973038243,214.49807840770646
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,4,10.830324909747292,8.5,51.14618602890783,744.1770067206089
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,5,10.830324909747292,0.7700000000000102,4.633242734383477,67.41368178527959
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,6,3.6101083032490973,0.9799999999999898,5.896854389215194,85.79923136308108
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,7,14.440433212996389,1.8499999999999943,11.131816959232847,161.96793675683793
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,8,5.054151624548736,1.6499999999999915,9.92837728796441,144.4578895398822
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,9,18.772563176895307,3.1000000000000085,18.653314904660554,271.4057318628111
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,10,22.382671480144406,8.700000000000003,52.34962570017626,761.6870539375647
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,11,17.328519855595665,7.239999999999995,43.56451609991676,633.8637092537889
3,13,CSP04,5,5,29.72287406,3.16605761133461,0.936114581887177,2.12,2010-06-19,2010-06-22,27.48,11.61,22.3,12,10.108303249097473,9.480000000000004,57.043040418123105,829.9762380836912
