rownr,date,Date,start,end,plotignore,CSP,working condition,protoc.first,protoc.sur,meas.first,meas.sur,entered.first,entered.sur,entered.date,page,Central_subplot,CWD-Id,CWD_CSP_original,Idaddon,CWD_CSP,Species,specunpolished,TagAFCW,TagMBa,TagAFCW original,TagMBa original,DBH,dbh.comment,dbhpostmean,dbhpostsd,stemsGrEq10,stemsCnSm10,height,BD,lookup tag,dbase.remark.kn,dtop,dtop.remark.kn,length,len.rem.kn,height_length,hei.len.rem.kn,broken at,broken diam,neigh.label,reference is self,neigh.dist,neigh.azimut,direction CWD,pos.cw,pos.af_original,plot estimate,pos.af,alive,sc,mc,dc,ter,rot,fungi,valid,crown_origin,remark,vol_factor,Allometrie,comment Karin,meandbh,meanGr10,meanSm10Cn,ice_storm_representative
809,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,w,16,CSP10_16,1,CSP10_16,Pinus massoniana,Pinus massoniana,,371947,,371947,11,,,,,,,21.5,,,11,,,,1.3,,,,376889,,4,140,12,,7,,7,d,100,5,2,,,,,,uprooted,,,,11,,,no
810,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,w,2,CSP10_2,4,CSP10_2,Alniphyllum fortunei,Alniphyllum fortunei,,379576,,379576,,,,,,,,14,,,11,,,,0.5,,,,376445,,4.2,300,220,,9,,9,d,100,5,3,,,,,,-,,,,,,,no
811,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,w,2,CSP10_2,5,CSP10_2,Alniphyllum fortunei,Alniphyllum fortunei,,377215,,377215,,,,,,,,12,,,12,,,,0.95,,,,376649,,4.53,266,5,,9,,9,d,100,5,2,,,,,,-,,,,,,,no
812,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,w,17,CSP10_17,1,CSP10_17,Lithocarpus glaber,Lithocarpus glaber,,377100,,377100,11,,,,1,,,11.5,,,3,,,,8,~8.00,,,376649,,3.11,289,0,,6,,6,d,5,1,1,,,,,,-,,,,11,1,,yes
813,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,w,17,CSP10_17,2,CSP10_17,Lithocarpus glaber,Lithocarpus glaber,,377476,,377476,,,12.85311477,1.948523796,0.931137725,,,16,,,11.5,,,,0.7,,,,376649,,3.44,230,nn,,10,,10,d,0,1,1,,,,,,-,,,,12.85311477,1,,no
814,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,w,18,CSP10_18,1,CSP10_18,Lithocarpus glaber,Lithocarpus glaber,,377452,,377452,,,,,,,,19,,,12,,,,0.55,,,,376652,,2.66,300,nn,,10,,10,d,0,5,3,,,,0.5,,50% loss,0.5,,,,,,no
815,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,w,19,CSP10_19,1,CSP10_19,Vaccinium bracteatum,Vaccinium bracteatum,,363040,,363040,,,,,,,,10,,,11,,,,1.4,,,,376652,,4.39,288,150,,11,,11,d,90,5,2,,,,,,-,,,,,,,no
816,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,w,20,CSP10_20,1,CSP10_20,Castanopsis eyrei,Castanopsis eyrei,,372870,,372870,,,,,,,,10,376137,,3,,,,3,,,,376137,true,2.05,335,347,,9,,9,d,1,1,1,,,,,,ref is origin,,,,,,,no
817,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,21,CSP10_21,1,CSP10_21,NA,nn,,,,no tag,,,,,,,,4.2,,,4.2,,,,1.3,,,,no tag,,nn,nn,25,,9,,9,d,10,5,2,,,,,,-,,,,,,,no
818,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,22,CSP10_22,1,CSP10_22,NA,nn,,,,no tag,,,,,,,,6.5,,,4.6,,,,0.48,,,,no tag,,nn,nn,180,,9,,9,d,10,5,3,,,,,,-,,,,,,,no
