Samplenr,Seedlingnr,Plot,Record,Date,Planted_Species,Density,Treatment,Dead,Height_P,Height_G,Leaves_Liv,Leaves_Dam,Leaves_Dead,Damage_pro,Biomass_Above,Biomass_Below
36.01.3,36.01,36,3,September_2016,D.glaucifolia,25,Shadow,0,179,,239,232,,10,89.77,16.27
36.01.1,36.01,36,1,August_2015,D.glaucifolia,25,Shadow,0,,10.5,8,,,,,
36.02.2,36.02,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.02.3,36.02,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.02.0,36.02,36,0,July_2015,D.glaucifolia,25,Shadow,0,8.1,,7,,,,,
36.02.1,36.02,36,1,August_2015,D.glaucifolia,25,Shadow,0,,12.1,11,,,,,
36.03.1,36.03,36,1,August_2015,D.glaucifolia,25,Shadow,0,,8.3,11,,,,,
36.03.3,36.03,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.03.2,36.03,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.03.0,36.03,36,0,July_2015,D.glaucifolia,25,Shadow,0,4.8,,6,,,,,
36.04.2,36.04,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.04.1,36.04,36,1,August_2015,D.glaucifolia,25,Shadow,0,,13.4,8,,,,,
36.04.0,36.04,36,0,July_2015,D.glaucifolia,25,Shadow,0,5.7,,7,,,,,
36.04.3,36.04,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.05.2,36.05,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.05.0,36.05,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.05.3,36.05,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.05.1,36.05,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.06.2,36.06,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.06.3,36.06,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.06.0,36.06,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.06.1,36.06,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.07.1,36.07,36,1,August_2015,D.glaucifolia,25,Shadow,0,,13.2,8,,,,,
36.07.3,36.07,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.07.0,36.07,36,0,July_2015,D.glaucifolia,25,Shadow,0,6.3,,4,,,,,
36.07.2,36.07,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.08.2,36.08,36,2,September_2015,D.glaucifolia,25,Shadow,0,21,21,12,11,0,1,,
36.08.1,36.08,36,1,August_2015,D.glaucifolia,25,Shadow,0,,10,6,,,,,
36.08.3,36.08,36,3,September_2016,D.glaucifolia,25,Shadow,0,117,,122,122,,5,51.59,26.09
36.08.0,36.08,36,0,July_2015,D.glaucifolia,25,Shadow,0,10.5,,6,,,,,
36.09.0,36.09,36,0,July_2015,D.glaucifolia,25,Shadow,0,10.2,,8,,,,,
36.09.2,36.09,36,2,September_2015,D.glaucifolia,25,Shadow,0,12,12,6,5,0,1,,
36.09.1,36.09,36,1,August_2015,D.glaucifolia,25,Shadow,0,,18.7,13,,,,,
36.09.3,36.09,36,3,September_2016,D.glaucifolia,25,Shadow,0,36,,11,11,,15,1.45,0.93
36.1.3,36.1,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.1.2,36.1,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.1.1,36.1,36,1,August_2015,D.glaucifolia,25,Shadow,0,,11.2,8,,,,,
36.1.0,36.1,36,0,July_2015,D.glaucifolia,25,Shadow,0,10.1,,7,,,,,
36.11.3,36.11,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.11.1,36.11,36,1,August_2015,D.glaucifolia,25,Shadow,0,,17,11,,,,,
36.11.2,36.11,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.11.0,36.11,36,0,July_2015,D.glaucifolia,25,Shadow,0,11.7,,8,,,,,
36.12.1,36.12,36,1,August_2015,D.glaucifolia,25,Shadow,0,,19.1,15,,,,,
36.12.2,36.12,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.12.3,36.12,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.12.0,36.12,36,0,July_2015,D.glaucifolia,25,Shadow,0,9.1,,9,,,,,
36.13.2,36.13,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.13.1,36.13,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.13.3,36.13,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.13.0,36.13,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.14.1,36.14,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.14.3,36.14,36,3,September_2016,D.glaucifolia,25,Shadow,0,128,,126,119,,5,41.02,8.41
36.14.2,36.14,36,2,September_2015,D.glaucifolia,25,Shadow,0,30,30,16,15,1,1,,
36.14.0,36.14,36,0,July_2015,D.glaucifolia,25,Shadow,0,6.7,,4,,,,,
36.15.2,36.15,36,2,September_2015,D.glaucifolia,25,Shadow,0,25,25,11,11,0,1,,
36.15.1,36.15,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.15.3,36.15,36,3,September_2016,D.glaucifolia,25,Shadow,0,63,,18,17,,10,3.72,1.39
36.15.0,36.15,36,0,July_2015,D.glaucifolia,25,Shadow,0,4.6,,2,,,,,
36.16.2,36.16,36,2,September_2015,D.glaucifolia,25,Shadow,0,13,13,10,9,0,1,,
36.16.1,36.16,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.16.3,36.16,36,3,September_2016,D.glaucifolia,25,Shadow,0,40,,6,6,,5,1.24,0.52
36.16.0,36.16,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.17.3,36.17,36,3,September_2016,D.glaucifolia,25,Shadow,0,99,,34,34,,20,7.75,3.51
36.17.2,36.17,36,2,September_2015,D.glaucifolia,25,Shadow,0,28,28,13,13,0,1,,
36.17.1,36.17,36,1,August_2015,D.glaucifolia,25,Shadow,0,,12.5,4,,,,,
36.17.0,36.17,36,0,July_2015,D.glaucifolia,25,Shadow,0,10.2,,3,,,,,
36.18.1,36.18,36,1,August_2015,D.glaucifolia,25,Shadow,0,,13.8,11,,,,,
36.18.3,36.18,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.18.2,36.18,36,2,September_2015,D.glaucifolia,25,Shadow,0,7.8,7.8,8,7,0,1,,
36.18.0,36.18,36,0,July_2015,D.glaucifolia,25,Shadow,0,7.8,,7,,,,,
36.19.2,36.19,36,2,September_2015,D.glaucifolia,25,Shadow,0,14,14,3,3,0,1,,
36.19.1,36.19,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.19.3,36.19,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.19.0,36.19,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.2.2,36.2,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.2.1,36.2,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.2.3,36.2,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.2.0,36.2,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.21.3,36.21,36,3,September_2016,D.glaucifolia,25,Shadow,1,,,,,,,,
36.21.0,36.21,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.21.1,36.21,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.21.2,36.21,36,2,September_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.22.1,36.22,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.22.3,36.22,36,3,September_2016,D.glaucifolia,25,Shadow,0,83,,30,28,,8,7.69,2.84
36.22.2,36.22,36,2,September_2015,D.glaucifolia,25,Shadow,0,18,18,10,9,0,1,,
36.22.0,36.22,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.23.2,36.23,36,2,September_2015,D.glaucifolia,25,Shadow,0,11.5,11.5,9,9,0,1,,
36.23.1,36.23,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.23.3,36.23,36,3,September_2016,D.glaucifolia,25,Shadow,0,40,,13,11,,20,1.9,1.75
36.23.0,36.23,36,0,July_2015,D.glaucifolia,25,Shadow,0,10.4,,8,,,,,
36.24.2,36.24,36,2,September_2015,D.glaucifolia,25,Shadow,0,17,17,15,15,0,1,,
36.24.1,36.24,36,1,August_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.24.3,36.24,36,3,September_2016,D.glaucifolia,25,Shadow,0,37,,28,28,,10,6.13,1.52
36.24.0,36.24,36,0,July_2015,D.glaucifolia,25,Shadow,1,,,,,,,,
36.25.3,36.25,36,3,September_2016,D.glaucifolia,25,Shadow,0,25,,10,10,,10,1.75,0.45
36.25.2,36.25,36,2,September_2015,D.glaucifolia,25,Shadow,0,16,16,10,9,0,1,,
36.25.1,36.25,36,1,August_2015,D.glaucifolia,25,Shadow,0,,20,9,,,,,
36.25.0,36.25,36,0,July_2015,D.glaucifolia,25,Shadow,0,11,,8,,,,,
37.01.1,37.01,37,1,August_2015,L.glaber,25,Light,0,,20.9,0,,,,,
37.01.3,37.01,37,3,September_2016,L.glaber,25,Light,0,24,,13,8,,5,1.55,0.58
37.01.2,37.01,37,2,September_2015,L.glaber,25,Light,0,14.9,14.9,4,3,0,5,,
37.01.0,37.01,37,0,July_2015,L.glaber,25,Light,0,21.5,,3,,,,,
37.02.2,37.02,37,2,September_2015,L.glaber,25,Light,0,18,18,3,3,0,0.1,,
37.02.1,37.02,37,1,August_2015,L.glaber,25,Light,0,,14.1,1,,,,,
37.02.3,37.02,37,3,September_2016,L.glaber,25,Light,0,46,,27,17,,5,4.37,2.03
37.02.0,37.02,37,0,July_2015,L.glaber,25,Light,0,11.4,,2,,,,,
37.03.2,37.03,37,2,September_2015,L.glaber,25,Light,1,,,,,,,,
37.03.1,37.03,37,1,August_2015,L.glaber,25,Light,1,,,,,,,,
37.03.3,37.03,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.03.0,37.03,37,0,July_2015,L.glaber,25,Light,0,6.7,,0,,,,,
37.04.3,37.04,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.04.2,37.04,37,2,September_2015,L.glaber,25,Light,1,,,,,,,,
37.04.1,37.04,37,1,August_2015,L.glaber,25,Light,0,,15.8,3,,,,,
37.04.0,37.04,37,0,July_2015,L.glaber,25,Light,0,16.3,,4,,,,,
37.05.1,37.05,37,1,August_2015,L.glaber,25,Light,0,,11.1,2,,,,,
37.05.3,37.05,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.05.2,37.05,37,2,September_2015,L.glaber,25,Light,0,22.7,22.7,11,7,1,3,,
37.05.0,37.05,37,0,July_2015,L.glaber,25,Light,0,10.6,,2,,,,,
37.06.2,37.06,37,2,September_2015,L.glaber,25,Light,0,12.9,12.9,4,3,0,0.1,,
37.06.1,37.06,37,1,August_2015,L.glaber,25,Light,0,,18,8,,,,,
37.06.3,37.06,37,3,September_2016,L.glaber,25,Light,0,,,,,,,1.14,0.55
37.06.0,37.06,37,0,July_2015,L.glaber,25,Light,0,17.5,,5,,,,,
37.07.2,37.07,37,2,September_2015,L.glaber,25,Light,0,12.5,12.5,4,3,0,0.1,,
37.07.1,37.07,37,1,August_2015,L.glaber,25,Light,0,,9.3,0,,,,,
37.07.3,37.07,37,3,September_2016,L.glaber,25,Light,0,29,,28,23,,3,2.56,1.34
37.07.0,37.07,37,0,July_2015,L.glaber,25,Light,0,11.8,,4,,,,,
37.08.3,37.08,37,3,September_2016,L.glaber,25,Light,0,47,,38,27,,5,4.4,1.88
37.08.2,37.08,37,2,September_2015,L.glaber,25,Light,0,15,15,5,2,0,0.1,,
37.08.1,37.08,37,1,August_2015,L.glaber,25,Light,0,,11.6,1,,,,,
37.08.0,37.08,37,0,July_2015,L.glaber,25,Light,0,11.6,,1,,,,,
37.09.2,37.09,37,2,September_2015,L.glaber,25,Light,0,21,21,1,1,0,5,,
37.09.3,37.09,37,3,September_2016,L.glaber,25,Light,0,30,,10,8,,3,1.18,0.44
37.09.0,37.09,37,0,July_2015,L.glaber,25,Light,0,2,,9,,,,,
37.09.1,37.09,37,1,August_2015,L.glaber,25,Light,0,,9.1,1,,,,,
37.1.1,37.1,37,1,August_2015,L.glaber,25,Light,0,,11.5,3,,,,,
37.1.3,37.1,37,3,September_2016,L.glaber,25,Light,0,39,,28,16,,3,4.35,2
37.1.2,37.1,37,2,September_2015,L.glaber,25,Light,0,11.8,11.8,4,4,0,1,,
37.1.0,37.1,37,0,July_2015,L.glaber,25,Light,0,11.4,,3,,,,,
37.11.3,37.11,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.11.1,37.11,37,1,August_2015,L.glaber,25,Light,0,,12.5,3,,,,,
37.11.2,37.11,37,2,September_2015,L.glaber,25,Light,0,0,14.7,0,0,0,,,
37.11.0,37.11,37,0,July_2015,L.glaber,25,Light,0,12.3,,3,,,,,
37.12.1,37.12,37,1,August_2015,L.glaber,25,Light,0,,18.4,0,,,,,
37.12.3,37.12,37,3,September_2016,L.glaber,25,Light,0,36,,19,15,,3,2.66,1.01
37.12.2,37.12,37,2,September_2015,L.glaber,25,Light,0,18,18,4,2,0,8,,
37.12.0,37.12,37,0,July_2015,L.glaber,25,Light,0,19.5,,1,,,,,
37.13.2,37.13,37,2,September_2015,L.glaber,25,Light,1,,,,,,,,
37.13.1,37.13,37,1,August_2015,L.glaber,25,Light,1,,,,,,,,
37.13.0,37.13,37,0,July_2015,L.glaber,25,Light,0,8.8,,0,,,,,
37.13.3,37.13,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.14.2,37.14,37,2,September_2015,L.glaber,25,Light,1,1,,,,,,,
37.14.3,37.14,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.14.1,37.14,37,1,August_2015,L.glaber,25,Light,0,,16.4,2,,,,,
37.14.0,37.14,37,0,July_2015,L.glaber,25,Light,0,15.6,,2,,,,,
37.15.2,37.15,37,2,September_2015,L.glaber,25,Light,0,13,13,3,3,0,8,,
37.15.1,37.15,37,1,August_2015,L.glaber,25,Light,0,,14.2,1,,,,,
37.15.3,37.15,37,3,September_2016,L.glaber,25,Light,0,37,,38,35,,3,5.42,1.89
37.15.0,37.15,37,0,July_2015,L.glaber,25,Light,0,16.4,,1,,,,,
37.16.1,37.16,37,1,August_2015,L.glaber,25,Light,0,,11.9,4,,,,,
37.16.2,37.16,37,2,September_2015,L.glaber,25,Light,0,13.1,13.1,4,4,0,2,,
37.16.3,37.16,37,3,September_2016,L.glaber,25,Light,0,27,,28,7,,2,2.47,1.04
37.16.0,37.16,37,0,July_2015,L.glaber,25,Light,0,9.6,,1,,,,,
37.17.2,37.17,37,2,September_2015,L.glaber,25,Light,0,11.6,11.6,1,1,0,2,,
37.17.3,37.17,37,3,September_2016,L.glaber,25,Light,0,18,,16,9,,5,1,0.32
37.17.0,37.17,37,0,July_2015,L.glaber,25,Light,0,15,,1,,,,,
37.17.1,37.17,37,1,August_2015,L.glaber,25,Light,0,,15.3,1,,,,,
37.18.1,37.18,37,1,August_2015,L.glaber,25,Light,0,,11.7,4,,,,,
37.18.3,37.18,37,3,September_2016,L.glaber,25,Light,0,20,,15,11,,3,1.66,0.51
37.18.2,37.18,37,2,September_2015,L.glaber,25,Light,0,13.3,13.3,1,1,1,2,,
37.18.0,37.18,37,0,July_2015,L.glaber,25,Light,0,11.5,,2,,,,,
37.19.3,37.19,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.19.2,37.19,37,2,September_2015,L.glaber,25,Light,0,12.8,12.8,1,0,0,0,,
37.19.1,37.19,37,1,August_2015,L.glaber,25,Light,0,,9.1,3,,,,,
37.19.0,37.19,37,0,July_2015,L.glaber,25,Light,0,9.6,,3,,,,,
37.2.1,37.2,37,1,August_2015,L.glaber,25,Light,0,,11.5,4,,,,,
37.2.2,37.2,37,2,September_2015,L.glaber,25,Light,0,19.9,19.9,8,6,0,2,,
37.2.3,37.2,37,3,September_2016,L.glaber,25,Light,0,34,,26,25,,5,3.23,0.68
37.2.0,37.2,37,0,July_2015,L.glaber,25,Light,0,13.7,,4,,,,,
37.21.2,37.21,37,2,September_2015,L.glaber,25,Light,0,13,13,3,3,0,5,,
37.21.3,37.21,37,3,September_2016,L.glaber,25,Light,0,28,,18,14,,5,1.97,0.68
37.21.0,37.21,37,0,July_2015,L.glaber,25,Light,0,20.1,,5,,,,,
37.21.1,37.21,37,1,August_2015,L.glaber,25,Light,0,,20.2,5,,,,,
37.22.1,37.22,37,1,August_2015,L.glaber,25,Light,1,,,,,,,,
37.22.3,37.22,37,3,September_2016,L.glaber,25,Light,0,34,,17,14,,7,2.03,0.92
37.22.2,37.22,37,2,September_2015,L.glaber,25,Light,0,17.8,17.8,3,3,1,2,,
37.22.0,37.22,37,0,July_2015,L.glaber,25,Light,0,15.5,,2,,,,,
37.23.0,37.23,37,0,July_2015,L.glaber,25,Light,0,13,,1,,,,,
37.23.1,37.23,37,1,August_2015,L.glaber,25,Light,1,,,,,,,,
37.23.3,37.23,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.23.2,37.23,37,2,September_2015,L.glaber,25,Light,1,,,,,,,,
37.24.3,37.24,37,3,September_2016,L.glaber,25,Light,1,,,,,,,,
37.24.2,37.24,37,2,September_2015,L.glaber,25,Light,1,,,,,,,,
37.24.1,37.24,37,1,August_2015,L.glaber,25,Light,0,,15.2,3,,,,,
37.24.0,37.24,37,0,July_2015,L.glaber,25,Light,0,15.7,,1,,,,,
37.25.3,37.25,37,3,September_2016,L.glaber,25,Light,0,42,,26,24,,5,3.52,1.49
37.25.2,37.25,37,2,September_2015,L.glaber,25,Light,0,0,19.4,0,0,0,,,
37.25.1,37.25,37,1,August_2015,L.glaber,25,Light,0,,11.2,4,,,,,
37.25.0,37.25,37,0,July_2015,L.glaber,25,Light,0,11.5,,3,,,,,
38.01.3,38.01,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.01.1,38.01,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.01.2,38.01,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.01.0,38.01,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.02.1,38.02,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.02.2,38.02,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.02.3,38.02,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.02.0,38.02,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.03.2,38.03,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.03.0,38.03,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.03.3,38.03,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.03.1,38.03,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.04.3,38.04,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.04.2,38.04,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.04.0,38.04,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.04.1,38.04,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.05.3,38.05,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.05.2,38.05,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.05.0,38.05,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.05.1,38.05,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.06.2,38.06,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.06.3,38.06,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.06.0,38.06,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.06.1,38.06,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.07.2,38.07,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.07.0,38.07,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.07.3,38.07,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.07.1,38.07,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.08.3,38.08,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.08.2,38.08,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.08.0,38.08,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.08.1,38.08,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.09.3,38.09,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.09.2,38.09,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.09.0,38.09,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.09.1,38.09,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.1.2,38.1,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.1.3,38.1,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.1.0,38.1,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.1.1,38.1,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.11.2,38.11,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.11.0,38.11,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.11.3,38.11,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.11.1,38.11,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.12.2,38.12,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.12.0,38.12,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.12.3,38.12,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.12.1,38.12,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.13.2,38.13,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.13.0,38.13,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.13.1,38.13,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.13.3,38.13,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.14.0,38.14,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.14.3,38.14,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.14.1,38.14,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.14.2,38.14,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.15.3,38.15,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.15.1,38.15,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.15.2,38.15,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.15.0,38.15,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.16.2,38.16,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.16.3,38.16,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.16.0,38.16,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.16.1,38.16,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.17.3,38.17,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.17.2,38.17,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.17.0,38.17,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.17.1,38.17,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.18.2,38.18,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.18.0,38.18,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.18.1,38.18,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.18.3,38.18,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.19.2,38.19,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.19.0,38.19,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.19.1,38.19,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.19.3,38.19,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.2.2,38.2,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.2.0,38.2,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.2.1,38.2,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.2.3,38.2,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.21.2,38.21,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.21.0,38.21,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.21.1,38.21,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.21.3,38.21,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.22.2,38.22,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.22.0,38.22,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.22.1,38.22,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.22.3,38.22,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.23.2,38.23,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.23.0,38.23,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.23.1,38.23,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.23.3,38.23,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.24.2,38.24,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.24.0,38.24,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.24.1,38.24,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.24.3,38.24,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
38.25.0,38.25,38,0,July_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.25.1,38.25,38,1,August_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.25.2,38.25,38,2,September_2015,R.chinensis,25,Shadow,1,,,,,,,,
38.25.3,38.25,38,3,September_2016,R.chinensis,25,Shadow,1,,,,,,,,
39.01.0,39.01,39,0,July_2015,L.formosana,9,Shadow,0,41.4,,12,,,,,
39.01.2,39.01,39,2,September_2015,L.formosana,9,Shadow,0,60,60,100,90,1,1,,
39.01.1,39.01,39,1,August_2015,L.formosana,9,Shadow,0,,50.5,14,,,,,
39.01.3,39.01,39,3,September_2016,L.formosana,9,Shadow,0,137,,79,79,,15,20.76,11.45
39.02.0,39.02,39,0,July_2015,L.formosana,9,Shadow,0,41,,9,,,,,
39.02.2,39.02,39,2,September_2015,L.formosana,9,Shadow,1,,,,,,,,
39.02.1,39.02,39,1,August_2015,L.formosana,9,Shadow,0,,42.4,23,,,,,
39.02.3,39.02,39,3,September_2016,L.formosana,9,Shadow,1,,,,,,,,
