Samplenr,Seedlingnr,Plot,Record,Date,Planted_Species,Density,Treatment,Dead,Height_P,Height_G,Leaves_Liv,Leaves_Dam,Leaves_Dead,Damage_pro,Biomass_Above,Biomass_Below
5.04.1,5.04,5,1,August_2015,Q.serrata,4,Shadow,0,,19.3,3,,,,,
5.04.3,5.04,5,3,September_2016,Q.serrata,4,Shadow,0,23,,7,7,,65,0.66,1.01
6.01.0,6.01,6,0,July_2015,C.sclerophylla,25,Light,0,4.3,,4,,,,,
6.01.2,6.01,6,2,September_2015,C.sclerophylla,25,Light,0,4.5,4.5,9,9,0,50,,
6.01.3,6.01,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.01.1,6.01,6,1,August_2015,C.sclerophylla,25,Light,0,,3.7,4,,,,,
6.02.0,6.02,6,0,July_2015,C.sclerophylla,25,Light,0,3.2,,5,,,,,
6.02.2,6.02,6,2,September_2015,C.sclerophylla,25,Light,1,0,,0,0,1,,,
6.02.1,6.02,6,1,August_2015,C.sclerophylla,25,Light,0,,3.1,0,,,,,
6.02.3,6.02,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.03.0,6.03,6,0,July_2015,C.sclerophylla,25,Light,0,2.8,,2,,,,,
6.03.2,6.03,6,2,September_2015,C.sclerophylla,25,Light,0,4.7,5.5,6,2,0,60,,
6.03.1,6.03,6,1,August_2015,C.sclerophylla,25,Light,0,,2.3,1,,,,,
6.03.3,6.03,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.04.0,6.04,6,0,July_2015,C.sclerophylla,25,Light,0,4.1,,5,,,,,
6.04.2,6.04,6,2,September_2015,C.sclerophylla,25,Light,0,0,3.8,0,0,0,,,
6.04.1,6.04,6,1,August_2015,C.sclerophylla,25,Light,0,,4.2,4,,,,,
6.04.3,6.04,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.05.0,6.05,6,0,July_2015,C.sclerophylla,25,Light,0,4.4,,4,,,,,
6.05.2,6.05,6,2,September_2015,C.sclerophylla,25,Light,0,0,6,0,0,2,,,
6.05.3,6.05,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.05.1,6.05,6,1,August_2015,C.sclerophylla,25,Light,0,,4.7,1,,,,,
6.06.0,6.06,6,0,July_2015,C.sclerophylla,25,Light,0,6,,3,,,,,
6.06.2,6.06,6,2,September_2015,C.sclerophylla,25,Light,0,3.7,8,5,0,0,0.1,,
6.06.1,6.06,6,1,August_2015,C.sclerophylla,25,Light,0,,4.1,0,,,,,
6.06.3,6.06,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.07.0,6.07,6,0,July_2015,C.sclerophylla,25,Light,0,3.3,,3,,,,,
6.07.2,6.07,6,2,September_2015,C.sclerophylla,25,Light,0,3,4,2,1,0,0,,
6.07.1,6.07,6,1,August_2015,C.sclerophylla,25,Light,0,,3.2,0,,,,,
6.07.3,6.07,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.08.2,6.08,6,2,September_2015,C.sclerophylla,25,Light,0,4.5,6,4,4,0,60,,
6.08.0,6.08,6,0,July_2015,C.sclerophylla,25,Light,0,2.9,,4,,,,,
6.08.3,6.08,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.08.1,6.08,6,1,August_2015,C.sclerophylla,25,Light,0,,3.1,0,,,,,
6.09.3,6.09,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.09.2,6.09,6,2,September_2015,C.sclerophylla,25,Light,1,0,,0,0,1,,,
6.09.1,6.09,6,1,August_2015,C.sclerophylla,25,Light,1,,,,,,,,
6.09.0,6.09,6,0,July_2015,C.sclerophylla,25,Light,0,2.2,,2,,,,,
6.1.3,6.1,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.1.1,6.1,6,1,August_2015,C.sclerophylla,25,Light,0,,2.5,1,,,,,
6.1.0,6.1,6,0,July_2015,C.sclerophylla,25,Light,0,3.2,,4,,,,,
