value,count,red,green,blue,opacity
0,11673033.0000,1.00000000000,1.00000000000,1.00000000000,1.00000000000
1,7.00000000000,0.917647058824,0.800000000000,0.800000000000,1.00000000000
2,21714.0000000,0.909803921569,0.800000000000,0.788235294118,1.00000000000
3,38.0000000000,0.909803921569,0.788235294118,0.788235294118,1.00000000000
4,484.000000000,0.909803921569,0.776470588235,0.776470588235,1.00000000000
5,11386.0000000,0.909803921569,0.776470588235,0.768627450980,1.00000000000
6,21204.0000000,0.898039215686,0.768627450980,0.756862745098,1.00000000000
7,65447.0000000,0.898039215686,0.756862745098,0.756862745098,1.00000000000
8,3.00000000000,0.886274509804,0.756862745098,0.749019607843,1.00000000000
9,27812.0000000,0.886274509804,0.749019607843,0.749019607843,1.00000000000
10,35045.0000000,0.886274509804,0.749019607843,0.737254901961,1.00000000000
11,9701.00000000,0.878431372549,0.737254901961,0.729411764706,1.00000000000
12,368.000000000,0.878431372549,0.737254901961,0.729411764706,1.00000000000
13,10650.0000000,0.878431372549,0.729411764706,0.717647058824,1.00000000000
14,23114.0000000,0.866666666667,0.729411764706,0.709803921569,1.00000000000
15,1.00000000000,0.866666666667,0.717647058824,0.698039215686,1.00000000000
16,17462.0000000,0.866666666667,0.709803921569,0.686274509804,1.00000000000
17,55377.0000000,0.858823529412,0.709803921569,0.686274509804,1.00000000000
18,32586.0000000,0.858823529412,0.698039215686,0.678431372549,1.00000000000
19,1939.00000000,0.847058823529,0.686274509804,0.666666666667,1.00000000000
20,2.00000000000,0.847058823529,0.686274509804,0.666666666667,1.00000000000
21,172.000000000,0.847058823529,0.678431372549,0.658823529412,1.00000000000
22,27420.0000000,0.839215686275,0.678431372549,0.647058823529,1.00000000000
23,91425.0000000,0.839215686275,0.666666666667,0.647058823529,1.00000000000
24,34836.0000000,0.839215686275,0.666666666667,0.639215686275,1.00000000000
25,738.000000000,0.839215686275,0.658823529412,0.627450980392,1.00000000000
26,30000.0000000,0.827450980392,0.647058823529,0.627450980392,1.00000000000
27,53761.0000000,0.827450980392,0.647058823529,0.619607843137,1.00000000000
28,51521.0000000,0.819607843137,0.639215686275,0.607843137255,1.00000000000
29,8115.00000000,0.819607843137,0.639215686275,0.600000000000,1.00000000000
30,684.000000000,0.819607843137,0.627450980392,0.600000000000,1.00000000000
31,24300.0000000,0.807843137255,0.619607843137,0.588235294118,1.00000000000
32,85274.0000000,0.807843137255,0.619607843137,0.576470588235,1.00000000000
33,76935.0000000,0.807843137255,0.607843137255,0.576470588235,1.00000000000
34,39479.0000000,0.800000000000,0.600000000000,0.568627450980,1.00000000000
35,31122.0000000,0.800000000000,0.600000000000,0.556862745098,1.00000000000
36,2947.00000000,0.800000000000,0.588235294118,0.556862745098,1.00000000000
37,9501.00000000,0.788235294118,0.588235294118,0.549019607843,1.00000000000
38,69569.0000000,0.788235294118,0.576470588235,0.537254901961,1.00000000000
39,31061.0000000,0.776470588235,0.576470588235,0.529411764706,1.00000000000
40,11696.0000000,0.466666666667,0.419607843137,0.388235294118,1.00000000000
41,36528.0000000,0.556862745098,0.498039215686,0.478431372549,1.00000000000
42,6925.00000000,0.529411764706,0.356862745098,0.329411764706,1.00000000000
43,16743.0000000,0.447058823529,0.376470588235,0.376470588235,1.00000000000
44,226350.000000,0.439215686275,0.356862745098,0.368627450980,1.00000000000
45,143206.000000,0.419607843137,0.349019607843,0.349019607843,1.00000000000
46,47196.0000000,0.419607843137,0.349019607843,0.349019607843,1.00000000000
47,14730.0000000,0.419607843137,0.349019607843,0.349019607843,1.00000000000
48,2344.00000000,0.407843137255,0.337254901961,0.349019607843,1.00000000000
49,46.0000000000,0.407843137255,0.337254901961,0.349019607843,1.00000000000
