country_name,country_iso3,year,indicator_name,indicator_code,value
Greenland,GRL,2012,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2011,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2010,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2009,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2008,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2007,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2006,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2005,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2004,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2003,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2002,Arable land (% of land area),AG.LND.ARBL.ZS,0.00219271531246193
Greenland,GRL,2001,Arable land (% of land area),AG.LND.ARBL.ZS,0.00194908027774394
Greenland,GRL,2000,Arable land (% of land area),AG.LND.ARBL.ZS,0.00194908027774394
Greenland,GRL,1999,Arable land (% of land area),AG.LND.ARBL.ZS,0.00170544524302595
Greenland,GRL,1998,Arable land (% of land area),AG.LND.ARBL.ZS,0.00170544524302595
Greenland,GRL,1997,Arable land (% of land area),AG.LND.ARBL.ZS,0.00170544524302595
Greenland,GRL,1996,Arable land (% of land area),AG.LND.ARBL.ZS,0.00204858062628036
Greenland,GRL,1995,Arable land (% of land area),AG.LND.ARBL.ZS,0.00175592625109745
Greenland,GRL,1994,Arable land (% of land area),AG.LND.ARBL.ZS,0.00175592625109745
Greenland,GRL,1993,Arable land (% of land area),AG.LND.ARBL.ZS,0.00175592625109745
Greenland,GRL,1992,Arable land (% of land area),AG.LND.ARBL.ZS,0.00175592625109745
Greenland,GRL,1991,Arable land (% of land area),AG.LND.ARBL.ZS,0.00146327187591455
Greenland,GRL,1990,Arable land (% of land area),AG.LND.ARBL.ZS,0.00146327187591455
Greenland,GRL,1989,Arable land (% of land area),AG.LND.ARBL.ZS,0.00117061750073164
