lab_num,CSP,sample_num,depth_lb,pH_H2O,pH_KCl,N_t,C_t,S_t,C_N
3177,CSP01,CSP01-P-1-1,4,4.8,3.8,0.18,3.33,0.05,18.5
3178,CSP01,CSP01-P-1-2,12,4.7,3.7,0.12,2.35,< 0.05,19.6
3179,CSP01,CSP01-P-1-3,35,5.1,3.9,0.04,0.71,< 0.05,17.8
3180,CSP01,CSP01-P-1-4,53,5.3,3.9,0.03,0.37,< 0.05,12.3
3181,CSP01,CSP01-P-1-5,83,5.2,3.8,0.02,0.23,< 0.05,11.5
3182,CSP01,CSP01-P-1-6,105,5.1,3.8,0.03,0.22,< 0.05,7.3
3183,CSP08,CSP08-P-1-1,10,4.7,3.9,0.11,2.03,< 0.05,18.5
3184,CSP08,CSP08-P-1-2,27,4.7,3.9,0.08,1.12,< 0.05,14
3185,CSP08,CSP08-P-1-3,90,5.1,3.8,0.03,0.34,< 0.05,11.3
3186,CSP02,CSP02-P-1-1,5,4.5,3.6,0.22,3.47,< 0.05,15.8
3187,CSP02,CSP02-P-1-2,11,4.4,3.7,0.19,2.96,< 0.05,15.6
3188,CSP02,CSP02-P-1-3,36,4.6,3.8,0.13,1.79,< 0.05,13.8
3189,CSP02,CSP02-P-1-4,56,4.8,3.8,0.07,0.92,< 0.05,13.1
3190,CSP02,CSP02-P-1-5,70,4.9,3.8,0.05,0.54,< 0.05,10.8
3191,CSP02,CSP02-P-1-6,78,5,3.9,0.03,0.28,< 0.05,9.3
3192,CSP02,CSP02-P-1-7,100,5,3.9,0.03,0.31,< 0.05,10.3
3332,CSP04,CSP04-P-1-1,5,4.7,3.5,0.48,7.62,< 0.05,15.9
3333,CSP04,CSP04-P-1-2,40,4.6,3.8,0.08,1.2,< 0.05,15
3334,CSP04,CSP04-P-1-3,60,4.8,3.8,0.07,0.91,< 0.05,13
3335,CSP04,CSP04-P-1-4,80,5,3.8,0.06,0.77,< 0.05,12.8
3336,CSP04,CSP04-P-1-5,110,4.9,3.7,0.04,0.42,< 0.05,10.5
3337,CSP05,CSP05-P-1-1,5,5,4,0.15,2.89,< 0.05,19.3
3338,CSP05,CSP05-P-1-2,13,4.7,4,0.07,1.45,< 0.05,20.7
3339,CSP05,CSP05-P-1-3,32,4.9,4,0.04,0.66,< 0.05,16.5
3340,CSP05,CSP05-P-1-4,52,5,3.9,0.02,0.27,< 0.05,13.5
3341,CSP05,CSP05-P-1-5,90,5.2,3.9,0.02,0.23,< 0.05,11.5
3342,CSP09,CSP09-P-1-1,8,4.5,3.8,0.2,3.36,< 0.05,16.8
3343,CSP09,CSP09-P-1-2,15,4.7,4,0.07,0.86,< 0.05,12.3
3344,CSP09,CSP09-P-1-3,30,5,4,0.05,0.41,< 0.05,8.2
3345,CSP09,CSP09-P-1-4,48,4.9,4,0.05,0.6,< 0.05,12
3346,CSP09,CSP09-P-1-5,80,5.1,4,0.03,0.34,< 0.05,11.3
3347,CSP12,CSP12-P-1-1,5,5.2,4,0.23,4.48,< 0.05,19.5
3348,CSP12,CSP12-P-1-2,10,4.6,4,0.09,1.64,< 0.05,18.2
3349,CSP12,CSP12-P-1-3,30,4.8,3.9,0.05,0.81,< 0.05,16.2
3350,CSP12,CSP12-P-1-4,50,5.2,3.9,0.02,0.28,< 0.05,14
3351,CSP12,CSP12-P-1-5,75,5.2,3.9,0.02,0.23,< 0.05,11.5
3352,CSP13,CSP13-P-1-1,2,4.5,3.7,0.23,4.5,< 0.05,19.6
3353,CSP13,CSP13-P-1-2,10,4.7,3.9,0.09,1.85,< 0.05,20.6
3354,CSP13,CSP13-P-1-3,25,4.7,3.9,0.05,0.59,< 0.05,11.8
3355,CSP13,CSP13-P-1-4,60,4.9,3.9,0.03,0.32,< 0.05,10.7
3356,CSP13,CSP13-P-1-5,140,5.1,3.9,0.02,0.21,< 0.05,10.5
3357,CSP16,CSP16-P-1-1,7,4.8,4,0.1,2.04,< 0.05,20.4
3358,CSP16,CSP16-P-1-2,25,4.7,3.9,0.08,1.3,< 0.05,16.3
3359,CSP16,CSP16-P-1-3,49,4.9,3.9,0.06,0.98,< 0.05,16.3
3360,CSP16,CSP16-P-1-4,70,5.2,3.8,0.03,0.24,< 0.05,8
3361,CSP16,CSP16-P-1-5,93,5.3,3.8,<0.02,0.13,< 0.05,NA
3362,CSP17,CSP17-P-1-1,5,5.1,3.9,0.18,2.67,< 0.05,14.8
3363,CSP17,CSP17-P-1-2,18,4.8,3.8,0.08,1,< 0.05,12.5
3364,CSP17,CSP17-P-1-3,80,5,3.8,0.05,0.67,< 0.05,13.4
3365,CSP19,CSP19-P-1-1,6,4.7,3.6,0.21,3.41,< 0.05,16.2
3366,CSP19,CSP19-P-1-2,20,4.8,3.8,0.09,1.6,< 0.05,17.8
