Keywords
amphibian
animal
animal specy
aquarium
bird
birth
female
female sample size
life span study
longevity study
male
male sample size
mammal
median life expectancy
north american zoo
population
reptile
sample size
scientific name
sex
size
species
species common name
study
taxonclas
vertebrate
