id,site,PTAG,PR,NR,species,branchNR,WD,LA,SLA,CHL,LN,LP,LC,SD,SA,O1_D,O1_SRL,BA13,BA14,BA15,BA16,BA17,BA18
ind23,A,p106210,1,1,SP27,10,0.63,6.318,72.842,40.7,17.46,0.46,454.58,1088,48.51354975,0.486,90.272,2.269800692,3.141592654,2.83528737,2.544690049,2.83528737,4.154756284
ind230,A,p117210,2,2,SP25,3,0.621,14.907,87.5,40,20.73,0.47,442.41,NA,NA,0.211,104.958,0.950331778,1.767145868,2.010619298,2.544690049,3.801327111,4.908738521
ind231,A,p117210,2,2,SP25,12,0.548,15.87,96.168,40.5,24.13,0.57,462.72,NA,NA,0.227,52.288,7.793113276,9.897980354,13.52651987,16.98227179,20.42820623,26.42079422
ind232,A,p118140,1,1,SP9,7,0.631,6.851,53.304,36,17.08,0.46,454.25,828,59.16164347,0.24,26.592,8.042477193,11.64156428,15.55284713,20.02961666,32.16990877,41.85386813
ind233,A,p118140,1,1,SP9,8,0.621,7.343,36.004,31.5,12.15,0.43,458.52,393,84.8062491,0.223,34.539,3.976078202,3.300635782,4.523893421,3.63050301,4.908738521,6.605198554
ind234,A,p118140,1,1,SP9,8,0.598,8.042,54.283,40.1,16.08,0.44,462.51,706,133.655489,0.238,42.386,5.107051557,9.34820164,9.897980354,9.34820164,15.20530844,21.23716634
ind235,A,p118140,1,1,SP9,13,0.624,7.374,57.856,40.4,17.13,0.51,457.2,756,65.83723648,0.23,25.956,2.83528737,6.834927517,12.56637061,19.63495408,37.39280656,47.78362426
ind236,A,p119100,8,4,SP31,5,0.431,12.242,279.26,38.9,24.57,1.74,418.03,182,62.91082643,0.244,35.298,11.04466167,11.64156428,13.20254313,12.88249338,12.56637061,
ind237,A,p119100,8,5,SP23,19,0.475,29.836,162.32,46.6,22.93,1.08,424.74,250,133.711034,0.325,17.879,32.67452709,47.17297719,60.82123377,67.92908715,91.60884178,109.3588403
ind238,A,p119100,8,5,SP7,16,0.466,12.277,57.287,54.9,21.27,1.32,452.27,343,136.6989957,0.2,32.265,6.379396582,6.834927517,10.75210086,11.94590607,12.56637061,16.98227179
ind239,A,p119100,8,4,SP16,35,0.48,22.243,186.146,41.6,15.12,0.8,417.8,925,42.45832312,0.237,46.893,54.75992345,67.92908715,67.20063036,72.38229474,70.88218425,89.92023573
ind24,A,p106210,1,1,SP27,7,0.601,5.24,56.438,35.2,19.33,0.36,425.42,NA,NA,0.437,104.707,1.767145868,3.141592654,2.544690049,NA,3.141592654,11.94590607
ind240,A,p119100,8,5,SP8,29,0.323,22.198,215.868,55.8,21.63,0.94,436.36,414,49.23176024,0.26,27.726,127.6762889,289.529179,346.3605901,285.022957,475.2915526,576.8042652
ind241,A,p119100,8,4,SP16,36,0.48,19.779,166.531,37.3,16.56,0.81,406.79,626,58.74599663,0.236,45.666,23.32828895,33.1830724,50.89576448,58.76545408,72.38229474,88.24733764
ind242,A,p119100,8,6,SP7,13,0.532,11.994,56.878,52,18.41,0.91,458.11,368,94.0756706,0.213,52.554,1.767145868,2.83528737,4.523893421,5.309291585,7.068583471,8.042477193
ind243,A,p119100,8,4,SP8,15,0.303,19.504,212.59,59.2,20.85,0.81,432.11,NA,NA,0.234,30.096,56.74501731,73.13824047,109.3588403,124.6898124,181.4583917,232.3521927
ind244,A,p119100,8,5,SP29,2,0.389,19.901,201.154,43.3,28.27,1.5,382.15,453,56.57668213,0.241,57.055,14.18625433,18.09557368,25.51758633,28.74753628,41.85386813,37.39280656
ind245,A,p119100,8,7,SP31,4,0.35,11.737,142.444,44.1,27.41,1.13,393.18,431,131.823697,0.234,30.394,26.42079422,32.67452709,34.211944,39.03625222,NA,
ind246,A,p119100,8,5,SP31,5,0.386,7.42,160.07,43.5,28.33,1.37,409.51,262,NA,0.296,17.398,4.523893421,5.107051557,5.309291585,NA,NA,
ind247,A,p119100,8,5,SP7,14,0.506,NA,NA,47.3,15.59,0.82,456.77,376,144.7437804,0.279,24.032,3.63050301,5.515458602,5.309291585,7.793113276,10.1787602,16.98227179
ind248,A,p119100,8,5,SP27,3,0.543,15.044,80.486,42.4,21.91,1.18,418.41,746,126.1650329,0.202,87.101,2.544690049,3.141592654,2.986476516,2.83528737,2.83528737,3.141592654
ind249,A,p119100,8,5,SP8,11,0.344,12.078,100.576,67.7,22.66,0.92,444.76,NA,NA,0.237,32.197,73.89811319,116.8986626,188.6919088,192.3616817,298.6476516,376.6848131
ind25,A,p106270,4,3,SP7,10,0.54,7.911,35.226,47.7,14.13,0.46,459.2,555,190.5088889,0.484,53.635,2.83528737,3.300635782,3.801327111,0.865901475,2.269800692,3.801327111
ind250,A,p119100,8,7,SP4,1,NA,14.963,136.62,41.1,19.05,0.59,427.21,616,93.30945657,0.196,62.278,3.300635782,2.010619298,2.010619298,0.070685835,2.010619298,
ind251,A,p119100,8,6,SP29,3,0.492,13.504,88.834,48.3,29.12,1.5,433.8,565,57.40689904,0.236,45.877,9.079202769,13.20254313,18.4745283,16.98227179,15.90431281,19.63495408
ind252,A,p119100,8,7,SP29,10,0.445,33.637,161.118,43.3,25.75,1.34,422.2,726,62.35516037,0.244,37.41,18.4745283,25.51758633,30.1907054,28.74753628,32.16990877,39.59192142
ind253,A,p119100,8,5,SP23,23,0.492,30.446,195.693,47.7,18.13,0.79,433.92,279,123.7884109,0.295,15.395,57.41456924,73.89811319,88.24733764,96.76890771,111.2202339,156.1450089
ind254,A,p119100,8,5,SP4,4,0.464,22.555,193.066,40.9,21.13,1.02,437.12,664,118.456653,NA,NA,2.544690049,2.544690049,3.63050301,3.300635782,3.141592654,4.523893421
ind255,A,p119100,8,4,SP8,13,0.342,24.42,214.747,55.8,22.4,1.13,436.5,NA,NA,0.219,35.895,60.13204689,59.44678699,73.89811319,79.327178,96.76890771,96.76890771
