objectid,tree_id,address,species,com_name,dbh,height,condition,land_type,park_name,x,y
1390,3240,200 W 12TH ST,Ulmus crassifolia,Cedar Elm,12,28,Fair,ROW,,3114240.32011,10073046.7728
1391,3241,200 W 12TH ST,Ulmus crassifolia,Cedar Elm,13,28,Fair,ROW,,3114218.16497,10073052.4571
1392,3242,200 W 12TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114336.93967,10073059.6933
1393,3243,200 W 12TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114318.33308,10073065.6100
1394,3244,200 W 12TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114264.44080,10073085.1191
1395,3245,200 W 12TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114235.89427,10073092.0332
1405,3255,1200 COLORADO ST,Quercus virginiana,Southern Live Oak,16,26,Good,ROW,,3114425.74363,10073274.9078
1406,3256,1200 COLORADO ST,Quercus virginiana,Southern Live Oak,15,26,Fair,ROW,,3114441.33579,10073318.0964
1407,3257,1200 COLORADO ST,Quercus virginiana,Southern Live Oak,10,26,Fair,ROW,,3114455.66089,10073356.7292
1408,3258,1200 COLORADO ST,Quercus virginiana,Southern Live Oak,14,26,Fair,ROW,,3114458.14382,10073367.6442
1409,3259,1200 COLORADO ST,Quercus virginiana,Southern Live Oak,9,26,Fair,ROW,,3114470.06572,10073404.5532
1410,3260,1200 COLORADO ST,Quercus virginiana,Southern Live Oak,11,26,Fair,ROW,,3114474.85212,10073428.4849
1411,3263,1100 LAVACA ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114117.48014,10072764.0453
1412,3264,1100 LAVACA ST,Quercus shumardii,Shumard Oak,16,28,Good,ROW,,3114129.77211,10072814.4278
1413,3265,1100 LAVACA ST,Pyrus calleryana,Ornamental Pear,10,18,Good,ROW,,3114141.67759,10072856.7029
1414,3266,1100 LAVACA ST,Pyrus calleryana,Ornamental Pear,14,18,Good,ROW,,3114145.32194,10072871.7665
1415,3269,40 EAST AVE,Quercus fusiformis,Escarpment Live Oak,42,35,Excellent,ROW,,3115771.65563,10066421.6334
