TAG,PTAG,ALTITUDE,SLOPE,SpeciesCode,PSI50,SAWP,NCI,nb_count,nb_richness,nb_mix,SPEI_12_Oct,Initial_year
t124140010810,p124140,249.21,31.31,20,-3.542856101,0.7211735069242019,0.21620755928440608,6,0,20,-0.29015,2012
t124140010810,p124140,249.21,31.31,20,-3.542856101,1.1433803565834126,0.2312184205283429,6,0,20,0.67536,2013
t124140010810,p124140,249.21,31.31,20,-3.542856101,0.9541489666420264,0.23418771490640156,6,0,20,1.58454,2014
t124140010810,p124140,249.21,31.31,20,-3.542856101,1.353890911576097,0.2158979308115153,6,0,20,1.38172,2015
t124140010809,p124140,249.37,30.55,20,-3.542856101,1.9309684028804572,0.04422382670961582,6,0,20,-1.51947,2010
t124140010809,p124140,249.37,30.55,20,-3.542856101,1.822584177488469,0.07197614989375868,6,0,20,1.44876,2011
t124140010809,p124140,249.37,30.55,20,-3.542856101,0.9300259898039309,0.0545304607731996,6,0,20,-0.29015,2012
t124140010809,p124140,249.37,30.55,20,-3.542856101,1.0739366535889632,0.06291428662834199,6,0,20,0.67536,2013
t124140010809,p124140,249.37,30.55,20,-3.542856101,1.2403111642908138,0.055655598209911776,6,0,20,1.58454,2014
t124140010809,p124140,249.37,30.55,20,-3.542856101,0.4190971474485313,0.06397015088307312,6,0,20,1.38172,2015
t124130011108,p124130,249.39,31.9,11,-5.094034031,1.8083954551202115,0.3246753248256481,5,1,11_14,-1.51947,2010
t124130011108,p124130,249.39,31.9,11,-5.094034031,0.23781750799418663,0.31707317069092267,6,1,11_14,1.44876,2011
t124130011108,p124130,249.39,31.9,11,-5.094034031,5.467596127658663,0.10588235297642186,5,1,11_14,-0.29015,2012
t124130011108,p124130,249.39,31.9,11,-5.094034031,2.0478510776791863,0.23207323281205192,6,1,11_14,0.67536,2013
t124130011108,p124130,249.39,31.9,11,-5.094034031,0.6604882488712732,0.24233671852467928,5,1,11_14,1.58454,2014
t124130011108,p124130,249.39,31.9,11,-5.094034031,1.265599412731402,0.2171618157584091,5,1,11_14,1.38172,2015
t124130011011,p124130,248.61,36.51,14,-4.389755639,3.814134296957031,0.15789473754750113,7,1,11_14,-1.51947,2010
t124130011011,p124130,248.61,36.51,14,-4.389755639,1.5676469945739044,0.10738255042303006,7,1,11_14,1.44876,2011
t124130011011,p124130,248.61,36.51,14,-4.389755639,2.405582391242206,0.11323603422134944,7,1,11_14,-0.29015,2012
t124130011011,p124130,248.61,36.51,14,-4.389755639,3.7609179731278313,0.08918794922607409,6,1,11_14,0.67536,2013
t124130011011,p124130,248.61,36.51,14,-4.389755639,0.37014960641383643,0.13868268079400978,6,1,11_14,1.58454,2014
t124130011011,p124130,248.61,36.51,14,-4.389755639,1.378676060161578,0.08935816644690489,6,1,11_14,1.38172,2015
t124130011010,p124130,248.64,36.08,11,-5.094034031,3.860130279453496,0.39024390198456643,6,1,11_14,-1.51947,2010
t124130011010,p124130,248.64,36.08,11,-5.094034031,1.7953730834782802,0.399339934130696,7,1,11_14,1.44876,2011
t124130011010,p124130,248.64,36.08,11,-5.094034031,3.0892564828690046,0.42945874005914736,6,1,11_14,-0.29015,2012
t124130011010,p124130,248.64,36.08,11,-5.094034031,0.711230822432015,0.560106746001231,6,1,11_14,0.67536,2013
t124130011010,p124130,248.64,36.08,11,-5.094034031,1.4007960710385838,0.3141173683926048,5,1,11_14,1.58454,2014
t124130011010,p124130,248.64,36.08,11,-5.094034031,1.40462574876769,0.3753875077268304,5,1,11_14,1.38172,2015
t124130011008,p124130,248.73,34.92,14,-4.389755639,3.972573060397324,0.2711864406048124,4,1,11_14,-1.51947,2010
t124130011008,p124130,248.73,34.92,14,-4.389755639,2.8759529468770313,0.3599999998599437,5,1,11_14,1.44876,2011
t124130011008,p124130,248.73,34.92,14,-4.389755639,0.3693226904630077,0.6097560975185595,6,1,11_14,-0.29015,2012
t124130011008,p124130,248.73,34.92,14,-4.389755639,3.604144256169736,0.19565217392771148,5,1,11_14,0.67536,2013
t124130011008,p124130,248.73,34.92,14,-4.389755639,1.3335884078580522,0.3349202179815864,4,1,11_14,1.58454,2014
t124130011008,p124130,248.73,34.92,14,-4.389755639,2.3899282357375475,0.35073739032745016,4,1,11_14,1.38172,2015
t124130010911,p124130,247.83,39.42,11,-5.094034031,2.0146269851591914,0.1551724143608381,6,1,11_14,-1.51947,2010
t124130010911,p124130,247.83,39.42,11,-5.094034031,3.184368644962169,0.1649484537469519,6,1,11_14,1.44876,2011
