Plot,site,abun,observed.div,div_abgd,div_ptp,estimator.ri06,estimator.shan06,estimator.sim06,PD_boot,MPD_boot,MNTD_boot,PD,MPD,MNTD,treerichness,func_div_rao,phylo_div_rao,cwm_la,cwm_sla,cwm_ldmc,cwm_n,cwm_c,cwm_cn,cwm_leaftough,cwm_treevol,cwm_k,cwm_mg,cwm_ca,cwm_na,cwm_p
B_O27,B,59,22,19,26,11.018,9.111,7.315,3.548814702,0.342454635,0.177711359,3.458128039,0.355766202,0.172819014,2,0,0,3470.8,11.46,308.25,1.64,46.79,28.72,0.48,16.17847451,19791.36,2541.21,37469.33,1295.24,376.73
B_O31,B,224,47,43,59,11.023,7.806,5.281,8.903251333,0.394808628,0.191936788,8.812985489,0.404952214,0.195690745,4,0.318838804,8.132220493,4062.87574,9.957380683,398.5003129,1.543536508,45.67953918,30.10853362,0.282848607,16.88202082,12890.6283,3500.353547,40525.40036,1177.462722,345.1922878
B_Q17,B,141,50,47,59,23.883,20.586,17.515,9.192609857,0.441649282,0.232451991,9.017505788,0.439818781,0.243087399,8,2.723635352,90.24342657,2345.921462,12.71238401,369.990621,1.883096098,46.33542409,25.64208135,0.329816008,8.163967831,16147.62227,3748.546737,38646.68846,993.0619318,372.7909019
B_Q27,B,121,22,21,26,4.03,3.577,3.137,4.559850192,0.364469871,0.259014707,4.303932333,0.366714306,0.247511549,1,0,0,3121.3,14,319.69,1.8,45.78,25.8,0.22,12.93802481,16033.15,3862.8,39790.67,1091.06,324.18
B_Q29,B,29,19,19,19,71.209,31.405,7.044,4.629179506,0.426572308,0.345190323,4.56950761,0.419980982,0.360008859,1,0,0,2347.24,12.8,354.3,1.59,47.88,30.44,0.53,0.611533531,17364.61,5156.9,39234.67,1088.67,263.62
B_R29,B,211,66,57,77,26.058,21.346,16.871,11.21970377,0.435813883,0.210560908,11.1040318,0.436457654,0.217742236,1,0,0,1217.88,11.66,403.97,2,46.2,24.57,0.5,3.499606903,17627.06,3993.39,42923.75,704.82,328.74
B_R3,B,140,57,55,61,31.54,27.264,23.275,10.75793467,0.455504812,0.257496871,10.81503167,0.452652547,0.27409044,4,4.265990905,67.0247926,2490.698045,14.25578357,378.1658666,2.0604062,46.62900376,24.08435942,0.361080738,7.040438617,17562.62393,4642.114491,39088.44277,919.8470186,403.9253456
B_S18,B,32,16,16,16,10.602,9.096,7.75,3.389306182,0.396369048,0.277119871,3.118376695,0.399913248,0.273480466,4,1.852982054,80.76391716,17012.41371,13.13171764,355.1497077,1.643009951,46.34517424,29.37974385,0.190929294,0.320980075,20011.23922,5138.236837,41301.25591,1326.185995,396.0642525
B_S22,B,197,55,53,62,21.266,17.216,13.216,10.42422907,0.450004752,0.244647097,10.3908736,0.458714093,0.264399655,16,2.245101568,74.55030627,3017.485228,11.48250306,390.9293095,1.771273269,46.12289836,27.05512415,0.286218391,5.383403902,13967.74433,3645.384844,39155.97528,1045.428771,368.8217389
B_T8,B,175,86,81,95,62.037,48.207,35.579,14.27114924,0.424138127,0.218235605,14.46818033,0.428297396,0.230246988,24,2.159484155,94.67646451,5338.417078,11.60675938,365.057012,1.595965925,46.11013647,30.27939486,0.349913071,7.711532346,19480.8914,4125.194502,39854.25661,1170.703642,340.7113833
B_U16,B,229,30,28,43,4.202,3.441,2.785,5.982111583,0.333587031,0.19443021,5.580984955,0.343093448,0.198372508,1,0,0,5153.69,9.9,384.68,1.55,46.16,30.29,0.28,10.01859264,9343.96,3977.85,42801.33,1434.91,385.96
B_V19,B,75,27,26,37,13.271,9.825,6.76,5.49579339,0.397295857,0.216829799,5.242714263,0.402930566,0.22525551,2,0.97370044,25.05064943,1474.460006,9.918791402,406.8571417,1.640219745,46.29890145,28.46417676,0.323626505,1.912585198,11481.62455,2706.63053,37143.88609,1102.993796,369.2673691
B_V23,B,47,23,20,25,16.629,11.914,7.742,4.461696477,0.382623027,0.247700842,4.106327942,0.394523689,0.243478582,2,0.206639115,9.634494031,3090.993698,13.95301713,321.0450644,1.791777997,45.86222003,25.98166711,0.232137242,18.25866575,16085.27985,3913.467113,39768.90127,1090.966426,321.808931
B_V24,B,141,33,29,41,8.413,6.206,4.443,6.275890737,0.371877753,0.189544339,6.075136027,0.36894693,0.191253807,1,0,0,1471.06,9.81,407.5,1.66,46.1,27.94,0.25,9.412735088,11394.62,2408.53,36316,1069.43,365.63
B_W10,B,7,6,6,6,10.321,9.82,9,1.497604321,0.347667413,0.340647263,1.423196662,0.356113009,0.36239173,1,0,0,789.32,10.74,494.48,1.78,47.9,28.66,0.62,0.10205064,13156.93,2322.7,39645.67,1605.44,351.11
B_W11,B,126,35,31,44,12.952,10.018,7.314,6.398530872,0.448731486,0.280735606,6.057697935,0.436583985,0.285047281,1,0,0,2640.73,10.02,415.43,1.53,44.98,29.89,0.28,7.772951478,17721.83,2872.72,37439.33,817.84,289.48
