date_and_time_of_initial_call,date_and_time_of_ranger_response,borough,property,location,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311sr_number,final_ranger_action,of_animals,pep_response,animal_monitored,rehabilitator,hours_spent_monitoring,police_response,esu_response,acc_intake_number
2018-08-01T10:45:00,2018-08-01T10:45:00,Manhattan,Central Park,Ramble at the cave,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,0,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-01T08:00:00,2018-08-01T10:30:00,Manhattan,Central Park,The Ramble. In the woodlands close to the rustic shelter. Closest cross street will be West 75th and Central Park West / Westdrive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,1-1-1595450043,ACC,1,false,false,,,false,false,36671
2018-07-31T20:00:00,2018-08-01T09:30:00,Manhattan,Central Park,Loeb Boathouse,Raccoon,Other,Native,DOA,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-08-01T08:00:00,2018-08-01T10:15:00,Manhattan,Central Park,"Ramble. In the woodlands not far from the Loeb Boathouse. Nearest cross street would be East 72nd, East Drive.",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-159450042,ACC,1,false,false,,,false,false,36670
2018-07-21T16:30:00,2018-07-21T16:45:00,Manhattan,Central Park,Huddlestone Arch at the waterfall,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,1.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,2,false,false,,,false,false,
2018-08-01T08:30:00,2018-08-01T08:45:00,Manhattan,Central Park,Lasker Pool. On the stairs not far from public entrance to the pool.,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-15950040,ACC,1,false,false,,,false,false,36669
2018-07-31T16:40:00,2018-07-31T16:50:00,Bronx,Magenta Playground,Bronx Park East & Rosewood Avenue,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1597270330,ACC,1,false,false,,,false,false,36629
2018-07-31T15:35:00,2018-07-31T15:35:00,Manhattan,Central Park,E 90th ST & 5th Ave,Raccoon,Observed by Ranger,Native,Unhealthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
2018-07-31T14:00:00,2018-07-31T14:05:00,Manhattan,Central Park,"At the reservoir, on the running path just west of the north pumphouse",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1594900390,ACC,1,false,false,,,false,false,36590
2018-07-31T11:35:00,2018-07-31T11:39:00,Manhattan,Central Park,E 90th St & 5th Ave,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,1.5,false,false,
2018-07-31T11:52:00,2018-07-31T12:40:00,Manhattan,Central Park,Dana Center Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,1,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-31T14:00:00,2018-07-31T15:30:00,Manhattan,Thomas Jefferson Recreation Center,In Lobby of Rec. Center,Squirrel,Employee,Native,Healthy,0.5,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-31T10:30:00,2018-07-31T11:20:00,Manhattan,Central Park,E65th between the dairy center and the east drive,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,4,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-31T09:00:00,2018-07-31T09:30:00,Manhattan,Central Park,near bridal path of E90th and 5th ave entrance.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,
2018-07-31T13:00:00,2018-07-31T13:26:00,Manhattan,Central Park,Central park ramble,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,1-1-1596705002,ACC,1,false,false,,,false,false,36572
2018-07-31T09:00:00,2018-07-31T00:05:00,Manhattan,Central Park,Found under a tree in the grass near the pedestrian path by E74th walkway off the drive by conservatory water.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Juvenile,Small Mammals-RVS,1-1-1596705002,ACC,1,false,false,,,false,false,36571
2018-07-31T09:00:00,2018-07-31T11:30:00,Manhattan,Central Park,Found on the side of the pedestrian path near the bathrooms in Columbus circle.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Juvenile,Small Mammals-RVS,1-1-1596705002,ACC,1,false,false,,,false,false,36570
2018-07-31T10:30:00,2018-07-31T10:35:00,Manhattan,Central Park,Parking lot of tavern on the green near the pedestrian ramp of central park west,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,1-11-1596705002,ACC,1,false,false,,,false,false,36569
2018-07-30T12:41:00,2018-07-30T13:00:00,Manhattan,Central Park,79th St and 5th Ave just south of the MET,Raccoons,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1593846610,ACC,2,false,false,,,false,false,36464/36465
2018-07-30T16:55:00,2018-07-30T17:08:00,Manhattan,Central Park,Summer Stage - backstage,raccoon,Other,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1595449961,ACC,1,false,false,,,false,false,36485
2018-07-29T15:15:00,2018-07-29T15:15:00,Queens,Cunningham Park,Yellow Picnic Area,Red Bat,Employee,Native,Healthy,1.25,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-30T12:50:00,2018-07-30T14:37:00,Manhattan,Central Park,On the Mall - between 72nd street and Bandshell - near staircase closest to 72nd,raccoon,Central,Native,Unhealthy,1.75,Juvenile,Small Mammals-RVS,1-1-1593101630,ACC,1,false,false,,,false,false,36475
2018-07-29T13:00:00,2018-07-30T13:30:00,Brooklyn,McCarren Park,,Red Tailed Hawk,Employee,Native,Healthy,0.5,"Juvenile;#Adult",Raptors,,Monitored Animal,3,false,true,,0.5,false,false,
2018-07-30T09:00:00,2018-07-30T10:30:00,Brooklyn,Fort Greene Park,"North East corner of park, near corner of Myrtle and St. Edwards",Cat,Employee,Domestic,Healthy,2,Adult,Domestic,1-1-1596491810,ACC,1,false,false,,,false,false,43984
2018-07-29T15:20:00,2018-07-29T15:30:00,Manhattan,Central Park,"Rumsey Playfield, just south of Summer Stage venue, 69th st and East Drive",Raccoon,Employee,Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1594035570,ACC,1,false,true,,0.5,false,false,36370
2018-07-29T13:00:00,2018-07-29T15:00:00,Manhattan,Central Park,"Rumsey Playfield, Summer Stage, around trailers",Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-23T11:15:00,2018-07-23T12:00:00,Manhattan,Central Park,West 70 Street between the West Drive and Central Park West,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,true,,0.5,false,false,
2018-07-26T12:30:00,2018-07-26T13:00:00,Manhattan,Central Park,Rumsey Playfield,Raccoon,Employee,Native,Injured,2,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
2018-07-28T07:45:00,2018-07-29T12:27:00,Manhattan,Central Park,"Near the Pioneers Gate, at 110th and 5th Ave",Raccoon,Public,Native,N/A,0.25,Juvenile,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-28T20:36:00,2018-07-29T11:30:00,Manhattan,Central Park,SW corner of the Jackie O Reservoir - where the Bridle Path intersects - below the railing - between the ledge and waters edge,raccoon,Public,Native,Healthy,1,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.75,false,false,
2018-07-29T09:48:00,2018-07-29T10:30:00,Manhattan,Central Park,Hallet Nature Sanctuary - 59th street/6th ave,raccoon,Central,Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1595406852,ACC,1,false,false,,,false,false,36328
2018-07-29T09:06:00,2018-07-29T09:08:00,Manhattan,Central Park,Conservatory Garden - Vanderbilt Gate - 5th ave/104th,raccoon,Employee,Native,Unhealthy,0.25,Juvenile,Small Mammals-RVS,1-1-1593319604,ACC,1,false,false,,,false,false,36298
2018-07-28T13:45:00,2018-07-28T14:20:00,Manhattan,Central Park,The Loeb Boathouse Docks,Raccoon,Other,Native,DOA,1.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-28T17:10:00,2018-07-28T17:15:00,Manhattan,Central Park,94th St and Bridle path,raccoon,Central,Native,Unhealthy,0.75,Juvenile,Small Mammals-RVS,1-1-1595729275,ACC,1,false,false,,,false,false,36264
2018-07-28T14:33:00,2018-07-28T15:34:00,Manhattan,Central Park,"Ramble, area known as ""the gill"", along the waterfall, under the bridge",raccoon,Public,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1-594558242,ACC,1,false,false,,,false,false,36259
2018-07-28T12:30:00,2018-07-28T12:45:00,Queens,Socrates Sculpture Park,"Fence along southern border of park, accessed from Costco Parking Lot",Opossum,Central,Native,Healthy,1.75,Adult,Small Mammals-non RVS,1-1-1594452514,Relocated/Condition Corrected,1,false,false,,,false,true,
2018-07-28T12:12:00,2018-07-28T12:22:00,Manhattan,Central Park,Bridle Path at W 100th street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1-595449866,ACC,1,false,false,,,false,false,36209
2018-07-28T09:00:00,2018-07-28T09:06:00,Manhattan,Central Park,"61 street entrance to park, on Wayne Walk, under a bench",raccoon,Central,Native,DOA,0,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-28T08:30:00,2018-07-28T10:30:00,Manhattan,Central Park,"West Drive and 74th street, between the Drive and the Lake, behind a bench in the vegetation",raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-28T08:30:00,2018-07-28T09:54:00,Manhattan,Central Park,"In Ramble, near Ramble Shed trash cans close to Maintenance area",raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-28T08:30:00,2018-07-28T09:22:00,Manhattan,Central Park,"on Bridle Path at 86th street transverse entrance, aka ""Cowgate""",raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-27T17:00:00,2018-07-27T05:06:00,Manhattan,Central Park,North Woods between East Drive and Harlem Meer/ In the sewage rocks on the walking path between the stairs and Lasker Rink,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-non RVS,,Monitored Animal,1,false,false,,,false,false,
2018-07-27T10:30:00,2018-07-27T12:00:00,Manhattan,Central Park,74th St. and West Drive,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,ACC,1,false,false,,,false,false,36023
2018-07-27T10:00:00,2018-07-27T10:30:00,Manhattan,Central Park,"Ramble, the oven, north of the Lake",raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1594820091,ACC,1,false,false,,,false,false,36014
2018-07-27T09:30:00,2018-07-27T10:00:00,Manhattan,Central Park,"Ramble, The Oven, north of the Lake",raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,ACC,1,false,false,,,false,false,36013
2018-07-27T09:00:00,2018-07-27T09:30:00,Manhattan,Central Park,North Meadow Ball fields,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,ACC,1,false,false,,,false,false,36012
2018-07-27T08:23:00,2018-07-27T14:34:00,Manhattan,Central Park,E 110th St Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.75,Juvenile,Small Mammals-RVS,1-1-1594899930,ACC,1,false,false,,0.5,false,false,36061
2018-07-27T00:00:00,2018-07-27T09:00:00,Manhattan,Central Park,Central Park - 110th St Playground at Dana Center,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
2018-07-26T12:45:00,2018-07-26T13:35:00,Manhattan,Central Park,Compost Hill 103rd/East Drive,raccoon,Central,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-26T11:00:00,2018-07-26T11:00:00,Manhattan,Central Park,Dead Road and 72nd St Transverse,Squirrel,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1594035353,ACC,1,false,false,,,false,false,35900
2018-07-26T10:20:00,2018-07-26T10:20:00,Manhattan,Central Park,Delacorte Theater,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1594035353,ACC,1,false,false,,,false,false,35899
